year,age,agesq,nbh,cbd,intst,lintst,price,rooms,area,land,baths,dist,ldist,wind,lprice,y81,larea,lland,y81ldist,lintstsq,nearinc,y81nrinc,rprice,lrprice
1978,104,10816,4,2000,4000,8.2939997,47000,8,2576,12568,2,9400,9.1484652,3,10.757903,0,7.8539929,9.4389095,0,68.790428,1,0,47000,10.757903
1978,18,324,4,3000,4000,8.2939997,68500,6,1377,12877,2,10200,9.2301426,5,11.134589,0,7.2276626,9.4631977,0,68.790428,1,0,68500,11.134589
1978,188,35344,0,9000,9000,9.1049995,36000,6,2071,9665,2,16100,9.6865749,5,10.491274,0,7.635787,9.1762667,0,82.901016,0,0,36000,10.491274
1978,12,144,0,8000,8000,8.9871998,90000,7,2352,26890,3,15000,9.6158047,5,11.407565,0,7.7630215,10.19951,0,80.76976,1,0,90000,11.407565
1978,178,31684,0,10000,9000,9.1049995,66900,10,1750,12516,2,17100,9.7468338,5,11.110954,0,7.467371,9.434763,0,82.901016,0,0,66900,11.110954
1978,1,1,4,3000,6000,8.6995001,44000,6,1869,12500,2,6100,8.7160444,3,10.691945,0,7.5331588,9.4334841,0,75.681305,1,0,44000,10.691945
1978,48,2304,4,2000,6000,8.6995001,43500,6,1490,5000,1,6600,8.7948246,3,10.680516,0,7.3065314,8.5171928,0,75.681305,1,0,43500,10.680516
1978,56,3136,4,2000,6000,8.6995001,40000,5,1867,5000,1,6800,8.8246784,3,10.596635,0,7.5320883,8.5171928,0,75.681305,1,0,40000,10.596635
1978,3,9,4,3000,6000,8.6995001,46000,7,1261,10000,2,6000,8.6995153,3,10.736397,0,7.1396604,9.2103405,0,75.681305,1,0,46000,10.736397
1978,21,441,0,3000,5000,8.5172005,48000,5,1038,15431,1,10000,9.2103395,5,10.778956,0,6.9450512,9.6441336,0,72.542702,1,0,48000,10.778956
1978,12,144,4,4000,6000,8.6995001,61000,7,1800,13030,2,11200,9.3236694,5,11.018629,0,7.495542,9.4750099,0,75.681305,1,0,61000,11.018629
1978,28,784,4,4000,5000,8.5172005,55500,6,1972,20089,2,11400,9.3413687,5,10.924138,0,7.5868034,9.9079275,0,72.542702,1,0,55500,10.924138
1978,23,529,0,6000,7000,8.8536997,63000,6,2089,16935,1,12100,9.4009609,5,11.05089,0,7.6444407,9.7371378,0,78.388,1,0,63000,11.05089
1978,148,21904,0,6000,7000,8.8536997,32000,6,1464,29129,2,12500,9.4334841,5,10.373491,0,7.2889276,10.27949,0,78.388,1,0,32000,10.373491
1978,25,625,0,7000,7000,8.8536997,32000,6,2112,12500,2,14000,9.546813,5,10.373491,0,7.6553907,9.4334841,0,78.388,1,0,32000,10.373491
1978,13,169,0,12000,12000,9.3927002,82000,6,1964,25182,2,18300,9.8146563,5,11.314474,0,7.5827384,10.133884,0,88.222816,0,0,82000,11.314474
1978,18,324,0,14000,17000,9.7410002,51000,5,1166,45000,1,5200,8.5564137,7,10.839581,0,7.0613341,10.714417,0,94.887085,1,0,51000,10.839581
1978,38,1444,1,10000,14000,9.5467997,83000,6,3861,51062,2,8000,8.9871969,11,11.326596,0,8.2586813,10.840796,0,91.14138,1,0,83000,11.326596
1978,10,100,0,14000,16000,9.6802998,100000,7,2252,44000,3,16000,9.6803436,11,11.512925,0,7.719574,10.691945,0,93.708206,0,0,100000,11.512925
1978,8,64,0,14000,16000,9.6802998,131500,9,2598,44000,3,16000,9.6803436,11,11.786762,0,7.8624973,10.691945,0,93.708206,0,0,131500,11.786762
1978,21,441,0,17000,18000,9.7981005,37500,4,2276,43560,1,22100,10.00333,7,10.532096,0,7.730175,10.681894,0,96.002769,0,0,37500,10.532096
1978,68,4624,4,3000,6000,8.6995001,49000,6,1875,9790,2,6700,8.8098631,5,10.799576,0,7.5363641,9.1891165,0,75.681305,1,0,49000,10.799576
1978,13,169,4,4000,6000,8.6995001,54000,6,1570,8790,2,10700,9.2779989,5,10.896739,0,7.3588309,9.0813704,0,75.681305,1,0,54000,10.896739
1978,38,1444,0,4000,7000,8.8536997,56900,6,2032,10993,2,5300,8.5754623,5,10.949051,0,7.616776,9.3050137,0,78.388,1,0,56900,10.949051
1978,22,484,0,4000,8000,8.9871998,62000,6,1318,20550,2,5700,8.648221,5,11.034889,0,7.1838708,9.9306164,0,80.76976,1,0,62000,11.034889
1978,21,441,0,4000,8000,8.9871998,48000,5,1078,21800,2,5800,8.6656132,5,10.778956,0,6.9828629,9.989665,0,80.76976,1,0,48000,10.778956
1978,56,3136,4,4000,7000,8.8536997,48000,7,3460,11421,2,5900,8.6827078,5,10.778956,0,8.149024,9.3432093,0,78.388,1,0,48000,10.778956
1978,28,784,4,3000,7000,8.8536997,53000,5,1592,12700,2,6800,8.8246784,5,10.878047,0,7.3727465,9.449357,0,78.388,1,0,53000,10.878047
1978,54,2916,4,4000,7000,8.8536997,49000,8,915,14000,1,7600,8.9359035,5,10.799576,0,6.818924,9.546813,0,78.388,1,0,49000,10.799576
1978,28,784,4,5000,7000,8.8536997,31000,5,925,4585,1,11400,9.3413687,5,10.341743,0,6.8297939,8.4305458,0,78.388,1,0,31000,10.341743
1978,14,196,0,4000,7000,8.8536997,56900,6,1421,21120,2,6800,8.8246784,5,10.949051,0,7.2591162,9.9579754,0,78.388,1,0,56900,10.949051
1978,78,6084,0,10000,10000,9.2103004,34000,5,990,1710,1,15600,9.6550264,5,10.434115,0,6.8977051,7.4442487,0,84.829636,1,0,34000,10.434115
1978,153,23409,0,10000,11000,9.3057003,98000,9,3792,35942,4,16200,9.6927671,5,11.492723,0,8.2406492,10.489662,0,86.596062,0,0,98000,11.492723
1978,3,9,0,12000,12000,9.3927002,85500,7,2544,26726,3,17700,9.7813196,7,11.356272,0,7.8414931,10.193392,0,88.222816,0,0,85500,11.356272
1978,0,0,0,12000,12000,9.3927002,122500,7,2206,50094,3,18500,9.8255262,5,11.715866,0,7.698936,10.821656,0,88.222816,0,0,122500,11.715866
1978,189,35721,1,14000,17000,9.7410002,185000,9,5078,132422,4,14500,9.5819044,11,12.128111,0,8.5326729,11.793749,0,94.887085,1,0,185000,12.128111
1978,5,25,1,17000,19000,9.8521996,67500,5,1358,44775,2,16700,9.7231636,11,11.119883,0,7.2137685,10.709405,0,97.065834,0,0,67500,11.119883
1978,8,64,1,16000,19000,9.8521996,120000,7,2171,44064,3,16200,9.6927671,11,11.695247,0,7.6829433,10.693398,0,97.065834,0,0,120000,11.695247
1978,1,1,1,19000,21000,9.9523001,79000,7,1998,43561,3,19900,9.8984747,11,11.277204,0,7.5999022,10.681917,0,99.048279,0,0,79000,11.277204
1978,1,1,1,18000,21000,9.9523001,77500,7,1998,147668,3,19800,9.8934374,11,11.258033,0,7.5999022,11.902721,0,99.048279,0,0,77500,11.258033
1978,26,676,1,20000,22000,9.9988003,58000,6,1356,544500,2,21000,9.9522781,11,10.968198,0,7.2122946,13.207623,0,99.976006,0,0,58000,10.968198
1978,0,0,1,19000,21000,9.9523001,61900,9,1411,44431,3,20200,9.9134378,11,11.033276,0,7.2520537,10.701693,0,99.048279,0,0,61900,11.033276
1978,2,4,1,19000,21000,9.9523001,79900,7,1540,46174,3,21000,9.9522781,11,11.288531,0,7.3395376,10.740172,0,99.048279,0,0,79900,11.288531
1978,0,0,1,20000,22000,9.9988003,62400,7,1296,46609,2,20900,9.947504,11,11.041321,0,7.167038,10.749549,0,99.976006,0,0,62400,11.041321
1978,1,1,1,22000,24000,10.086,89500,7,2240,43560,2,23000,10.04325,11,11.401994,0,7.714231,10.681894,0,101.7274,0,0,89500,11.401994
1978,0,0,6,21000,23000,10.043,89500,7,2436,43560,3,23100,10.04759,11,11.401994,0,7.7981124,10.681894,0,100.86185,0,0,89500,11.401994
1978,0,0,6,22000,24000,10.086,94900,7,2384,43560,3,23200,10.05191,11,11.460579,0,7.776535,10.681894,0,101.7274,0,0,94900,11.460579
1978,0,0,6,24000,26000,10.166,85900,6,1862,56392,2,27100,10.20729,11,11.360939,0,7.5294065,10.940083,0,103.34756,0,0,85900,11.360939
1978,0,0,6,24000,26000,10.166,92900,7,2036,49737,3,27000,10.20359,11,11.439279,0,7.6187425,10.814505,0,103.34756,0,0,92900,11.439279
1978,0,0,6,24000,26000,10.166,84900,7,2082,43958,3,27000,10.20359,11,11.34923,0,7.6410842,10.690989,0,103.34756,0,0,84900,11.34923
1978,0,0,6,24000,26000,10.166,85900,7,1962,44465,3,26700,10.19242,11,11.360939,0,7.5817199,10.702457,0,103.34756,0,0,85900,11.360939
1978,0,0,6,24000,26000,10.166,85900,7,2286,43996,3,26600,10.18867,11,11.360939,0,7.7345591,10.691854,0,103.34756,0,0,85900,11.360939
1978,0,0,6,24000,25000,10.127,97900,7,2464,43560,3,26400,10.18112,11,11.491702,0,7.8095412,10.681894,0,102.55613,0,0,97900,11.491702
1978,0,0,6,24000,25000,10.127,78400,6,1862,45302,2,26300,10.17732,11,11.269579,0,7.5294065,10.721107,0,102.55613,0,0,78400,11.269579
1978,0,0,6,24000,26000,10.166,91400,8,2738,43995,2,27000,10.20359,11,11.423,0,7.9149828,10.691832,0,103.34756,0,0,91400,11.423
1978,0,0,6,25000,26000,10.166,106500,7,2240,43995,3,27100,10.20729,11,11.5759,0,7.714231,10.691832,0,103.34756,0,0,106500,11.5759
1978,0,0,6,24000,26000,10.166,109500,7,2780,43995,3,27000,10.20359,11,11.60368,0,7.9302063,10.691832,0,103.34756,0,0,109500,11.60368
1978,1,1,1,14000,16000,9.6802998,148000,7,2781,43560,3,15600,9.6550264,11,11.904967,0,7.9305658,10.681894,0,93.708206,1,0,148000,11.904967
1978,12,144,1,16000,19000,9.8521996,75000,6,1537,48352,2,17700,9.7813196,11,11.225244,0,7.3375878,10.786263,0,97.065834,0,0,75000,11.225244
1978,1,1,1,14000,16000,9.6802998,90400,7,2796,43560,3,15600,9.6550264,11,11.412,0,7.935945,10.681894,0,93.708206,1,0,90400,11.412
1978,1,1,1,14000,16000,9.6802998,125000,9,2794,43995,3,15600,9.6550264,11,11.736069,0,7.9352293,10.691832,0,93.708206,1,0,125000,11.736069
1978,158,24964,6,22000,23000,10.043,123000,9,2872,104544,3,33300,10.41331,11,11.719939,0,7.9627638,11.557364,0,100.86185,0,0,123000,11.719939
1978,30,900,6,21000,22000,9.9988003,63000,6,1357,45302,1,25600,10.15035,7,11.05089,0,7.2130318,10.721107,0,99.976006,0,0,63000,11.05089
1978,188,35344,6,21000,23000,10.043,87500,7,3256,44867,2,25300,10.13856,11,11.379395,0,8.0882549,10.711458,0,100.86185,0,0,87500,11.379395
1978,0,0,0,30000,31000,10.342,73000,7,2038,49223,2,33300,10.41331,11,11.198215,0,7.6197243,10.804116,0,106.95696,0,0,73000,11.198215
1978,0,0,0,25000,26000,10.166,84900,7,1924,44431,3,28100,10.24352,11,11.34923,0,7.5621614,10.701693,0,103.34756,0,0,84900,11.34923
1978,0,0,0,25000,26000,10.166,80900,7,2370,43560,3,27300,10.21464,11,11.300969,0,7.7706451,10.681894,0,103.34756,0,0,80900,11.300969
1978,0,0,0,25000,26000,10.166,94000,7,2036,51836,3,27200,10.21097,11,11.45105,0,7.6187425,10.85584,0,103.34756,0,0,94000,11.45105
1978,0,0,0,30000,31000,10.342,74500,7,1818,55321,2,33200,10.41031,11,11.218554,0,7.5054922,10.920908,0,106.95696,0,0,74500,11.218554
1978,1,1,5,33000,34000,10.434,82500,7,1986,50094,3,36700,10.51053,11,11.320554,0,7.5938778,10.821656,0,108.86835,0,0,82500,11.320554
1978,3,9,5,31000,32000,10.373,86000,6,1855,50965,2,34600,10.45161,11,11.362103,0,7.52564,10.838895,0,107.59913,0,0,86000,11.362103
1978,1,1,5,30000,30000,10.309,76900,6,1836,46174,3,33300,10.41331,11,11.250261,0,7.5153446,10.740172,0,106.27548,0,0,76900,11.250261
1978,1,1,5,30000,30000,10.309,75900,7,1836,45738,2,33300,10.41331,11,11.237172,0,7.5153446,10.730684,0,106.27548,0,0,75900,11.237172
1978,0,0,5,30000,30000,10.309,75500,7,1820,46174,3,33300,10.41331,11,11.231888,0,7.5065918,10.740172,0,106.27548,0,0,75500,11.231888
1978,0,0,5,30000,30000,10.309,75000,7,1728,47916,2,33300,10.41331,11,11.225244,0,7.45472,10.777205,0,106.27548,0,0,75000,11.225244
1978,0,0,5,30000,30000,10.309,73900,6,2092,47045,3,33300,10.41331,11,11.210468,0,7.6458759,10.75886,0,106.27548,0,0,73900,11.210468
1978,0,0,5,33000,34000,10.434,83900,7,2036,46174,3,36800,10.51325,11,11.337381,0,7.6187425,10.740172,0,108.86835,0,0,83900,11.337381
1978,1,1,5,33000,34000,10.434,76900,7,2400,43560,3,37100,10.52137,11,11.250261,0,7.7832241,10.681894,0,108.86835,0,0,76900,11.250261
1978,0,0,5,30000,31000,10.342,84300,7,2104,68689,3,33200,10.41031,11,11.342137,0,7.6515956,11.137344,0,106.95696,0,0,84300,11.342137
1978,0,0,5,30000,31000,10.342,75900,7,1928,157252,3,33300,10.41331,11,11.237172,0,7.5642385,11.965605,0,106.95696,0,0,75900,11.237172
1978,0,0,5,30000,31000,10.342,87900,7,2067,204296,3,33300,10.41331,11,11.383955,0,7.6338534,12.227325,0,106.95696,0,0,87900,11.383955
1978,13,169,2,26000,26000,10.166,65000,7,1360,43910,2,30100,10.31228,7,11.082143,0,7.21524,10.689898,0,103.34756,0,0,65000,11.082143
1978,0,0,2,26000,26000,10.166,90000,7,1940,43996,3,30000,10.30895,7,11.407565,0,7.5704432,10.691854,0,103.34756,0,0,90000,11.407565
1978,5,25,2,26000,26000,10.166,104500,7,2816,43560,3,29900,10.30561,7,11.556942,0,7.9430728,10.681894,0,103.34756,0,0,104500,11.556942
1978,14,196,2,24000,25000,10.127,63000,6,1235,95832,2,28400,10.25414,7,11.05089,0,7.1188264,11.470352,0,102.55613,0,0,63000,11.05089
1978,5,25,2,27000,27000,10.204,66100,7,1388,46600,2,31000,10.34174,7,11.098924,0,7.2356191,10.749356,0,104.12163,0,0,66100,11.098924
1978,6,36,2,27000,27000,10.204,60000,7,1070,48834,1,31000,10.34174,7,11.0021,0,6.9754138,10.796182,0,104.12163,0,0,60000,11.0021
1978,4,16,2,27000,28000,10.24,73000,7,1390,46100,2,31000,10.34174,11,11.198215,0,7.2370591,10.738568,0,104.8576,0,0,73000,11.198215
1978,3,9,2,24000,25000,10.127,83000,9,2574,43996,3,28200,10.24708,7,11.326596,0,7.8532162,10.691854,0,102.55613,0,0,83000,11.326596
1978,1,1,5,28000,29000,10.275,70500,6,1232,45000,2,32300,10.38282,11,11.163368,0,7.116394,10.714417,0,105.57561,0,0,70500,11.163368
1978,4,16,5,28000,28000,10.24,120000,6,2650,43996,3,32000,10.37349,7,11.695247,0,7.8823147,10.691854,0,104.8576,0,0,120000,11.695247
1978,12,144,5,31000,32000,10.373,62500,6,1978,44867,2,35700,10.48291,7,11.042922,0,7.5898414,10.711458,0,107.59913,0,0,62500,11.042922
1978,1,1,5,28000,29000,10.275,65500,6,1248,45000,2,32800,10.39818,11,11.089806,0,7.1292977,10.714417,0,105.57561,0,0,65500,11.089806
1978,9,81,5,27000,28000,10.24,84900,7,1716,45500,2,31300,10.35137,7,11.34923,0,7.447751,10.725468,0,104.8576,0,0,84900,11.34923
1978,9,81,5,31000,31000,10.342,63400,6,1144,44431,1,35600,10.4801,7,11.05722,0,7.0422864,10.701693,0,106.95696,0,0,63400,11.05722
1978,2,4,5,30000,30000,10.309,80000,7,2450,44867,3,34500,10.44871,7,11.289782,0,7.8038435,10.711458,0,106.27548,0,0,80000,11.289782
1978,2,4,0,23000,24000,10.086,86000,7,2952,43996,3,28200,10.24708,7,11.362103,0,7.9902382,10.691854,0,101.7274,0,0,86000,11.362103
1978,0,0,0,23000,24000,10.086,94376,7,2800,69260,3,28400,10.25414,7,11.455042,0,7.9373746,11.145623,0,101.7274,0,0,94376,11.455042
1978,0,0,0,23000,24000,10.086,90500,7,2108,52272,3,28000,10.23996,7,11.413105,0,7.6534948,10.864216,0,101.7274,0,0,90500,11.413105
1978,2,4,0,24000,24000,10.086,90500,7,2208,54014,3,28400,10.25414,7,11.413105,0,7.6998425,10.896998,0,101.7274,0,0,90500,11.413105
1978,0,0,0,24000,24000,10.086,84900,7,1560,44864,3,28600,10.26116,7,11.34923,0,7.3524413,10.71139,0,101.7274,0,0,84900,11.34923
1978,2,4,0,24000,24000,10.086,86000,7,2248,49222,3,28300,10.25062,7,11.362103,0,7.7177963,10.804096,0,101.7274,0,0,86000,11.362103
1978,6,36,2,22000,23000,10.043,91500,7,2284,44001,3,27800,10.23279,7,11.424094,0,7.7336836,10.691968,0,100.86185,0,0,91500,11.424094
1978,23,529,2,21000,21000,9.9523001,89912,7,2632,64904,2,27000,10.20359,7,11.406587,0,7.8754992,11.080665,0,99.048279,0,0,89912,11.406587
1978,23,529,2,21000,21000,9.9523001,88000,7,2632,64904,2,27000,10.20359,7,11.385092,0,7.8754992,11.080665,0,99.048279,0,0,88000,11.385092
1978,14,196,2,19000,19000,9.8521996,73500,6,1936,43996,2,25200,10.1346,7,11.205041,0,7.5683794,10.691854,0,97.065834,0,0,73500,11.205041
1978,8,64,2,21000,21000,9.9523001,85000,8,2004,44080,2,26700,10.19242,7,11.350407,0,7.6029005,10.693762,0,99.048279,0,0,85000,11.350407
1978,13,169,2,21000,21000,9.9523001,87000,7,1920,44260,2,26200,10.17351,7,11.373663,0,7.5600805,10.697837,0,99.048279,0,0,87000,11.373663
1978,5,25,2,20000,20000,9.9034996,97000,7,2136,44000,3,25800,10.15813,7,11.482467,0,7.6666903,10.691945,0,98.079308,0,0,97000,11.482467
1978,3,9,2,24000,24000,10.086,72500,7,2472,46422,3,29000,10.27505,7,11.191341,0,7.8127828,10.745529,0,101.7274,0,0,72500,11.191341
1978,4,16,2,24000,23000,10.043,77000,7,1792,45106,3,29000,10.27505,7,11.251561,0,7.4910874,10.71677,0,100.86185,0,0,77000,11.251561
1978,5,25,2,23000,23000,10.043,85000,7,2136,117176,3,28100,10.24352,7,11.350407,0,7.6666903,11.671432,0,100.86185,0,0,85000,11.350407
1978,4,16,2,20000,20000,9.9034996,82000,8,2016,44900,3,25800,10.15813,7,11.314474,0,7.6088705,10.712193,0,98.079308,0,0,82000,11.314474
1978,0,0,2,20000,20000,9.9034996,93000,6,2514,43996,3,26000,10.16585,7,11.440354,0,7.8296304,10.691854,0,98.079308,0,0,93000,11.440354
1978,0,0,2,20000,20000,9.9034996,105000,7,2432,43663,3,25600,10.15035,7,11.561716,0,7.7964692,10.684257,0,98.079308,0,0,105000,11.561716
1978,0,0,2,20000,20000,9.9034996,106500,7,2878,43560,3,25600,10.15035,7,11.5759,0,7.9648509,10.681894,0,98.079308,0,0,106500,11.5759
1978,15,225,3,26000,26000,10.166,44900,5,960,51690,1,31700,10.36407,7,10.712193,0,6.8669333,10.85302,0,103.34756,0,0,44900,10.712193
1978,11,121,0,19000,18000,9.7981005,73000,7,1868,56900,3,25900,10.162,5,11.198215,0,7.5326238,10.949051,0,96.002769,0,0,73000,11.198215
1978,11,121,3,29000,28000,10.24,46500,6,1296,94961,2,35200,10.4688,7,10.747208,0,7.167038,11.461222,0,104.8576,0,0,46500,10.747208
1978,13,169,3,29000,28000,10.24,50000,6,1668,43560,2,35700,10.48291,7,10.819778,0,7.4193807,10.681894,0,104.8576,0,0,50000,10.819778
1978,0,0,3,29000,28000,10.24,90000,7,2052,43560,3,35400,10.47447,7,11.407565,0,7.6265702,10.681894,0,104.8576,0,0,90000,11.407565
1978,1,1,0,33000,33000,10.404,49500,6,1100,38768,1,38600,10.56101,7,10.809728,0,7.0030656,10.565351,0,108.24323,0,0,49500,10.809728
1978,28,784,0,35000,34000,10.434,57000,5,1320,64033,1,40000,10.59663,7,10.950807,0,7.1853871,11.067154,0,108.86835,0,0,57000,10.950807
1978,9,81,0,11000,13000,9.4727001,120000,6,3030,47916,3,14800,9.6023817,7,11.695247,0,8.0163183,10.777205,0,89.732048,1,0,120000,11.695247
1978,3,9,0,14000,15000,9.6157999,83500,6,1924,42688,2,18900,9.8469172,7,11.332602,0,7.5621614,10.661674,0,92.463608,0,0,83500,11.332602
1978,0,0,0,11000,12000,9.3927002,300000,7,3770,282704,3,15500,9.6485949,7,12.611538,0,8.2348299,12.552155,0,88.222816,1,0,300000,12.611538
1978,3,9,0,12000,12000,9.3927002,64900,7,2856,29955,2,17700,9.7813196,7,11.080603,0,7.9571772,10.307451,0,88.222816,0,0,64900,11.080603
1978,58,3364,4,6000,6000,8.6995001,50900,5,930,8185,1,13400,9.5030098,5,10.837618,0,6.8351846,9.0100584,0,75.681305,1,0,50900,10.837618
1978,12,144,4,7000,6000,8.6995001,60500,6,1399,10000,2,13600,9.5178251,5,11.010399,0,7.2435131,9.2103405,0,75.681305,1,0,60500,11.010399
1978,3,9,4,6000,5000,8.5172005,70400,5,1342,8500,2,13500,9.5104446,5,11.161948,0,7.2019162,9.047821,0,72.542702,1,0,70400,11.161948
1978,48,2304,4,6000,7000,8.8536997,48000,6,1500,5153,2,11800,9.3758554,5,10.778956,0,7.3132205,8.5473347,0,78.388,1,0,48000,10.778956
1978,25,625,0,10000,10000,9.2103004,53500,7,1333,11883,1,16800,9.7291336,5,10.887437,0,7.1951871,9.382864,0,84.829636,0,0,53500,10.887437
1978,8,64,6,24000,26000,10.166,66000,6,1844,92783,2,26200,10.17351,11,11.09741,0,7.5196924,11.438019,0,103.34756,0,0,66000,11.09741
1978,8,64,6,24000,26000,10.166,64000,6,1764,86249,2,26000,10.16585,11,11.066638,0,7.4753394,11.364994,0,103.34756,0,0,64000,11.066638
1978,11,121,0,15000,15000,9.6157999,65000,7,2727,44867,3,21300,9.9664621,7,11.082143,0,7.9109573,10.711458,0,92.463608,0,0,65000,11.082143
1978,10,100,0,14000,13000,9.4727001,72900,7,2080,25000,2,19700,9.8883743,7,11.196844,0,7.6401234,10.126631,0,89.732048,0,0,72900,11.196844
1978,2,4,0,13000,13000,9.4727001,26000,7,2030,25120,3,19400,9.8730278,7,10.165852,0,7.6157908,10.131419,0,89.732048,0,0,26000,10.165852
1978,0,0,0,14000,14000,9.5467997,117000,7,3030,32255,3,21000,9.9522781,5,11.66993,0,8.0163183,10.381429,0,91.14138,0,0,117000,11.66993
1978,0,0,0,14000,13000,9.4727001,97000,7,2252,30894,3,20200,9.9134378,5,11.482467,0,7.719574,10.338317,0,89.732048,0,0,97000,11.482467
