year,id,dist,passen,fare,bmktshr,ldist,y98,y99,y00,lfare,ldistsq,concen,lpassen
2000,10,1976,187,214,.3001,7.58883,0,0,1,5.3659759,57.59034,.3001,5.2311087
1997,11,1118,364,181,.45220003,7.0192966,0,0,0,5.1984968,49.270527,.45220003,5.8971539
1998,11,1118,374,182,.48820001,7.0192966,1,0,0,5.2040067,49.270527,.48820001,5.9242558
1999,11,1118,368,183,.4113,7.0192966,0,1,0,5.209486,49.270527,.4113,5.908083
2000,11,1118,383,188,.48470002,7.0192966,0,0,1,5.2364421,49.270527,.48470002,5.9480348
1997,12,580,1244,97,.67290002,6.363028,0,0,0,4.5747108,40.488125,.67290002,7.1260872
1998,12,580,962,109,.65300006,6.363028,1,0,0,4.6913481,40.488125,.65300006,6.8690143
1999,12,580,980,110,.66530001,6.363028,0,1,0,4.7004805,40.488125,.66530001,6.8875527
2000,12,580,954,117,.68830001,6.363028,0,0,1,4.7621741,40.488125,.68830001,6.8606639
1997,13,349,400,136,.82529998,5.855072,0,0,0,4.9126549,34.281868,.82529998,5.9914646
1998,13,349,353,186,.79030001,5.855072,1,0,0,5.2257466,34.281868,.79030001,5.866468
1999,13,349,349,184,.7999,5.855072,0,1,0,5.2149358,34.281868,.7999,5.855072
2000,13,349,319,198,.71919996,5.855072,0,0,1,5.2882671,34.281868,.71919996,5.7651911
1997,14,223,278,68,.792,5.4071717,0,0,0,4.2195077,29.237507,.792,5.6276212
1998,14,223,255,71,.77870005,5.4071717,1,0,0,4.2626801,29.237507,.77870005,5.5412636
1999,14,223,255,72,.8664,5.4071717,0,1,0,4.2766662,29.237507,.8664,5.5412636
2000,14,223,241,75,.84650004,5.4071717,0,0,1,4.3174882,29.237507,.84650004,5.484797
1997,15,745,437,132,.49419999,6.6133842,0,0,0,4.882802,43.736851,.49419999,6.0799332
1998,15,745,385,148,.4745,6.6133842,1,0,0,4.9972124,43.736851,.4745,5.9532433
1999,15,745,440,137,.49520001,6.6133842,0,1,0,4.919981,43.736851,.49520001,6.0867748
2000,15,745,443,151,.49310002,6.6133842,0,0,1,5.0172796,43.736851,.49310002,6.0935698
1997,16,719,197,127,.58130002,6.5778613,0,0,0,4.8441873,43.268261,.58130002,5.2832036
1998,16,719,184,146,.66980004,6.5778613,1,0,0,4.9836068,43.268261,.66980004,5.2149358
1999,16,719,187,135,.7471,6.5778613,0,1,0,4.9052749,43.268261,.7471,5.2311087
2000,16,719,178,149,.80610001,6.5778613,0,0,1,5.0039463,43.268261,.80610001,5.1817837
1997,17,487,761,83,.71169996,6.1882639,0,0,0,4.4188404,38.294609,.71169996,6.6346335
1998,17,487,602,110,.9228,6.1882639,1,0,0,4.7004805,38.294609,.9228,6.4002576
1999,17,487,597,111,.92339998,6.1882639,0,1,0,4.7095304,38.294609,.92339998,6.3919172
2000,17,487,678,105,.92790002,6.1882639,0,0,1,4.6539602,38.294609,.92790002,6.5191474
1997,18,677,935,103,.815,6.5176711,0,0,0,4.6347289,42.480038,.815,6.8405466
1998,18,677,886,112,.80470002,6.5176711,1,0,0,4.7184987,42.480038,.80470002,6.7867169
1999,18,677,842,120,.87279999,6.5176711,0,1,0,4.7874918,42.480038,.87279999,6.7357802
2000,18,677,806,131,.87540001,6.5176711,0,0,1,4.8751974,42.480038,.87540001,6.6920838
1997,19,982,189,190,.68410003,6.8895912,0,0,0,5.2470241,47.466469,.68410003,5.2417469
1998,19,982,183,186,.64999998,6.8895912,1,0,0,5.2257466,47.466469,.64999998,5.209486
1999,19,982,182,202,.56950003,6.8895912,0,1,0,5.3082676,47.466469,.56950003,5.2040067
2000,19,982,181,193,.65750003,6.8895912,0,0,1,5.2626901,47.466469,.65750003,5.1984968
1997,20,1817,441,224,.2793,7.5049419,0,0,0,5.4116459,56.324154,.2793,6.089045
1998,20,1817,363,240,.24700001,7.5049419,1,0,0,5.480639,56.324154,.24700001,5.894403
1999,20,1817,317,265,.23450001,7.5049419,0,1,0,5.57973,56.324154,.23450001,5.7589016
2000,20,1817,355,250,.29479998,7.5049419,0,0,1,5.521461,56.324154,.29479998,5.872118
1997,21,889,207,128,.66420001,6.7900972,0,0,0,4.8520303,46.105419,.66420001,5.3327188
1998,21,889,300,143,.8355,6.7900972,1,0,0,4.9628448,46.105419,.8355,5.7037826
1999,21,889,379,145,.88019997,6.7900972,0,1,0,4.9767337,46.105419,.88019997,5.9375362
2000,21,889,372,154,.875,6.7900972,0,0,1,5.0369525,46.105419,.875,5.9188938
1997,22,632,194,108,.76249999,6.4488893,0,0,0,4.6821313,41.588173,.76249999,5.267858
1998,22,632,201,113,.68559998,6.4488893,1,0,0,4.7273879,41.588173,.68559998,5.3033047
1999,22,632,194,124,.65179998,6.4488893,0,1,0,4.8202815,41.588173,.65179998,5.267858
2000,22,632,178,131,.65830004,6.4488893,0,0,1,4.8751974,41.588173,.65830004,5.1817837
1997,23,1554,200,134,.55199999,7.3485875,0,0,0,4.89784,54.00174,.55199999,5.2983174
1998,23,1554,198,164,.49919999,7.3485875,1,0,0,5.0998664,54.00174,.49919999,5.2882671
1999,23,1554,194,158,.47229999,7.3485875,0,1,0,5.0625949,54.00174,.47229999,5.267858
2000,23,1554,197,169,.56330001,7.3485875,0,0,1,5.1298985,54.00174,.56330001,5.2832036
1997,24,328,1492,66,.81629997,5.7930136,0,0,0,4.1896548,33.559006,.81629997,7.3078728
1998,24,328,1362,65,.83349997,5.7930136,1,0,0,4.1743875,33.559006,.83349997,7.2167096
1999,24,328,1449,64,.82769996,5.7930136,0,1,0,4.1588831,33.559006,.82769996,7.2786288
2000,24,328,1454,68,.82539999,5.7930136,0,0,1,4.2195077,33.559006,.82539999,7.2820735
1997,25,1113,189,144,.3193,7.0148144,0,0,0,4.9698133,49.207623,.3193,5.2417469
1998,25,1113,170,151,.2922,7.0148144,1,0,0,5.0172796,49.207623,.2922,5.1357985
1999,25,1113,187,153,.3057,7.0148144,0,1,0,5.0304379,49.207623,.3057,5.2311087
2000,25,1113,208,156,.3159,7.0148144,0,0,1,5.0498562,49.207623,.3159,5.3375382
1997,26,494,209,112,.65309995,6.2025356,0,0,0,4.7184987,38.471447,.65309995,5.3423343
1998,26,494,193,120,.70859998,6.2025356,1,0,0,4.7874918,38.471447,.70859998,5.2626901
1999,26,494,176,124,.50340003,6.2025356,0,1,0,4.8202815,38.471447,.50340003,5.1704841
2000,26,494,167,124,.50980002,6.2025356,0,0,1,4.8202815,38.471447,.50980002,5.1179938
1997,27,610,183,137,.73730004,6.4134588,0,0,0,4.919981,41.132454,.73730004,5.209486
1998,27,610,167,150,.75,6.4134588,1,0,0,5.0106354,41.132454,.75,5.1179938
1999,27,610,177,144,.60600001,6.4134588,0,1,0,4.9698133,41.132454,.60600001,5.1761498
2000,27,610,182,158,.75339997,6.4134588,0,0,1,5.0625949,41.132454,.75339997,5.2040067
1997,28,628,368,109,.84449995,6.4425402,0,0,0,4.6913481,41.506325,.84449995,5.908083
1998,28,628,374,113,.7525,6.4425402,1,0,0,4.7273879,41.506325,.7525,5.9242558
1999,28,628,369,124,.8114,6.4425402,0,1,0,4.8202815,41.506325,.8114,5.9107966
2000,28,628,370,133,.83899999,6.4425402,0,0,1,4.8903489,41.506325,.83899999,5.9135032
1997,29,897,456,133,.68769997,6.7990561,0,0,0,4.8903489,46.227161,.68769997,6.1224928
1998,29,897,315,133,.42320001,6.7990561,1,0,0,4.8903489,46.227161,.42320001,5.7525725
1999,29,897,212,143,.34549999,6.7990561,0,1,0,4.9628448,46.227161,.34549999,5.3565865
2000,29,897,202,146,.345,6.7990561,0,0,1,4.9836068,46.227161,.345,5.3082676
1997,30,871,224,136,.54680002,6.7696419,0,0,0,4.9126549,45.828053,.54680002,5.4116459
1998,30,871,199,149,.56470001,6.7696419,1,0,0,5.0039463,45.828053,.56470001,5.2933049
1999,30,871,206,151,.57690001,6.7696419,0,1,0,5.0172796,45.828053,.57690001,5.3278761
2000,30,871,205,155,.61629999,6.7696419,0,0,1,5.0434251,45.828053,.61629999,5.32301
1997,31,1181,252,149,.29639998,7.0741167,0,0,0,5.0039463,50.043129,.29639998,5.529429
1998,31,1181,261,146,.35080001,7.0741167,1,0,0,4.9836068,50.043129,.35080001,5.5645204
1999,31,1181,284,150,.48389998,7.0741167,0,1,0,5.0106354,50.043129,.48389998,5.6489744
2000,31,1181,288,156,.49169999,7.0741167,0,0,1,5.0498562,50.043129,.49169999,5.6629605
1997,32,935,150,132,.62159997,6.8405466,0,0,0,4.882802,46.793079,.62159997,5.0106354
1998,32,935,164,149,.6753,6.8405466,1,0,0,5.0039463,46.793079,.6753,5.0998664
1999,32,935,158,150,.59119999,6.8405466,0,1,0,5.0106354,46.793079,.59119999,5.0625949
2000,32,935,165,156,.56870002,6.8405466,0,0,1,5.0498562,46.793079,.56870002,5.1059456
1997,33,1648,411,183,.3682,7.4073176,0,0,0,5.209486,54.868355,.3682,6.0185933
1998,33,1648,395,173,.35830003,7.4073176,1,0,0,5.1532917,54.868355,.35830003,5.9788857
1999,33,1648,390,196,.29319999,7.4073176,0,1,0,5.2781148,54.868355,.29319999,5.9661469
2000,33,1648,337,226,.4041,7.4073176,0,0,1,5.4205351,54.868355,.4041,5.8200831
1997,34,655,157,274,.8678,6.4846354,0,0,0,5.6131282,42.050495,.8678,5.0562458
1998,34,655,156,245,.89099997,6.4846354,1,0,0,5.5012584,42.050495,.89099997,5.0498562
1999,34,655,131,270,.84559995,6.4846354,0,1,0,5.5984221,42.050495,.84559995,4.8751974
2000,34,655,138,295,.83489996,6.4846354,0,0,1,5.6869755,42.050495,.83489996,4.9272537
1997,35,907,346,111,.52529997,6.8101425,0,0,0,4.7095304,46.37804,.52529997,5.8464389
1998,35,907,222,115,.62419999,6.8101425,1,0,0,4.7449322,46.37804,.62419999,5.4026775
1999,35,907,407,114,.48529997,6.8101425,0,1,0,4.7361984,46.37804,.48529997,6.0088134
2000,35,907,490,118,.57080001,6.8101425,0,0,1,4.7706847,46.37804,.57080001,6.1944056
1997,36,412,151,109,.89899999,6.0210233,0,0,0,4.6913481,36.25272,.89899999,5.0172796
1998,36,412,141,119,.88789999,6.0210233,1,0,0,4.7791233,36.25272,.88789999,4.94876
1999,36,412,148,118,.88749999,6.0210233,0,1,0,4.7706847,36.25272,.88749999,4.9972124
2000,36,412,147,122,.88349998,6.0210233,0,0,1,4.8040209,36.25272,.88349998,4.9904327
1997,37,324,816,67,.73000002,5.7807436,0,0,0,4.2046928,33.416996,.73000002,6.7044144
1998,37,324,785,70,.71760005,5.7807436,1,0,0,4.2484951,33.416996,.71760005,6.6656837
1999,37,324,776,70,.77309996,5.7807436,0,1,0,4.2484951,33.416996,.77309996,6.6541524
2000,37,324,729,72,.77149999,5.7807436,0,0,1,4.2766662,33.416996,.77149999,6.5916739
1997,38,535,242,110,.88769996,6.2822666,0,0,0,4.7004805,39.466873,.88769996,5.4889379
1998,38,535,244,117,.66500002,6.2822666,1,0,0,4.7621741,39.466873,.66500002,5.4971681
1999,38,535,256,115,.66640002,6.2822666,0,1,0,4.7449322,39.466873,.66640002,5.5451775
2000,38,535,272,121,.59179997,6.2822666,0,0,1,4.7957907,39.466873,.59179997,5.6058021
1997,39,759,157,98,.97290003,6.6320019,0,0,0,4.5849676,43.983448,.97290003,5.0562458
1998,39,759,159,117,.96709996,6.6320019,1,0,0,4.7621741,43.983448,.96709996,5.0689044
1999,39,759,169,117,.98070002,6.6320019,0,1,0,4.7621741,43.983448,.98070002,5.1298985
2000,39,759,161,124,.95609999,6.6320019,0,0,1,4.8202815,43.983448,.95609999,5.0814042
1997,40,125,102,123,.91070002,4.8283138,0,0,0,4.8121843,23.312614,.91070002,4.6249728
1998,40,125,101,127,.90550005,4.8283138,1,0,0,4.8441873,23.312614,.90550005,4.6151204
1999,40,125,101,130,.9989,4.8283138,0,1,0,4.8675346,23.312614,.9989,4.6151204
2000,40,125,87,158,.99620003,4.8283138,0,0,1,5.0625949,23.312614,.99620003,4.4659081
1997,41,812,318,207,.7507,6.6995006,0,0,0,5.3327188,44.883308,.7507,5.7620516
1998,41,812,349,207,.74809998,6.6995006,1,0,0,5.3327188,44.883308,.74809998,5.855072
1999,41,812,375,224,.7374,6.6995006,0,1,0,5.4116459,44.883308,.7374,5.9269261
2000,41,812,415,248,.68970001,6.6995006,0,0,1,5.5134287,44.883308,.68970001,6.0282784
1997,42,576,1065,167,.6135,6.3561077,0,0,0,5.1179938,40.400105,.6135,6.9707303
1998,42,576,837,189,.90109998,6.3561077,1,0,0,5.2417469,40.400105,.90109998,6.7298241
1999,42,576,1187,132,.71219999,6.3561077,0,1,0,4.882802,40.400105,.71219999,7.0791845
2000,42,576,1268,173,.61619997,6.3561077,0,0,1,5.1532917,40.400105,.61619997,7.145196
1997,43,449,155,173,.90079999,6.1070228,0,0,0,5.1532917,37.295727,.90079999,5.0434251
1998,43,449,178,152,.90580004,6.1070228,1,0,0,5.0238805,37.295727,.90580004,5.1817837
1999,43,449,183,143,.93309999,6.1070228,0,1,0,4.9628448,37.295727,.93309999,5.209486
2000,43,449,156,185,.921,6.1070228,0,0,1,5.220356,37.295727,.921,5.0498562
1997,44,946,1622,237,.71730006,6.8522425,0,0,0,5.46806,46.953228,.71730006,7.3914151
1998,44,946,1981,163,.7888,6.8522425,1,0,0,5.09375,46.953228,.7888,7.5913572
1999,44,946,2421,134,.7076,6.8522425,0,1,0,4.89784,46.953228,.7076,7.7919359
2000,44,946,2188,177,.74870002,6.8522425,0,0,1,5.1761498,46.953228,.74870002,7.690743
1997,45,712,252,185,.82949996,6.568078,0,0,0,5.220356,43.139648,.82949996,5.529429
1998,45,712,410,119,.58450001,6.568078,1,0,0,4.7791233,43.139648,.58450001,6.0161572
1999,45,712,561,100,.54330003,6.568078,0,1,0,4.6051702,43.139648,.54330003,6.329721
2000,45,712,547,115,.50870001,6.568078,0,0,1,4.7449322,43.139648,.50870001,6.3044486
1997,46,259,241,178,.9526,5.556828,0,0,0,5.1817837,30.878338,.9526,5.484797
1998,46,259,250,178,.95910001,5.556828,1,0,0,5.1817837,30.878338,.95910001,5.521461
1999,46,259,232,205,.96539998,5.556828,0,1,0,5.32301,30.878338,.96539998,5.4467373
2000,46,259,206,218,.96139997,5.556828,0,0,1,5.3844953,30.878338,.96139997,5.3278761
1997,47,227,783,123,.55229998,5.4249501,0,0,0,4.8121843,29.430084,.55229998,6.6631327
1998,47,227,633,183,.68529999,5.4249501,1,0,0,5.209486,29.430084,.68529999,6.4504704
1999,47,227,554,211,.70239997,5.4249501,0,1,0,5.3518581,29.430084,.70239997,6.3171649
2000,47,227,513,250,.6904,5.4249501,0,0,1,5.521461,29.430084,.6904,6.2402759
1997,48,605,3369,125,.45669997,6.4052286,0,0,0,4.8283138,41.026955,.45669997,8.1223717
1998,48,605,3826,123,.46080002,6.4052286,1,0,0,4.8121843,41.026955,.46080002,8.2495756
1999,48,605,3599,133,.49150002,6.4052286,0,1,0,4.8903489,41.026955,.49150002,8.1884117
2000,48,605,3415,173,.45919999,6.4052286,0,0,1,5.1532917,41.026955,.45919999,8.1359329
1997,49,373,400,269,.95519996,5.9215784,0,0,0,5.5947113,35.06509,.95519996,5.9914646
1998,49,373,454,229,.96769994,5.9215784,1,0,0,5.433722,35.06509,.96769994,6.1180973
1999,49,373,410,252,.95949996,5.9215784,0,1,0,5.529429,35.06509,.95949996,6.0161572
2000,49,373,508,216,.95679998,5.9215784,0,0,1,5.3752785,35.06509,.95679998,6.2304816
1997,50,554,857,121,.5072,6.3171649,0,0,0,4.7957907,39.906574,.5072,6.753438
1998,50,554,714,153,.51950002,6.3171649,1,0,0,5.0304379,39.906574,.51950002,6.5708828
1999,50,554,683,184,.48630002,6.3171649,0,1,0,5.2149358,39.906574,.48630002,6.526495
2000,50,554,616,197,.53670001,6.3171649,0,0,1,5.2832036,39.906574,.53670001,6.4232469
1997,51,1186,186,174,.72350001,7.0783415,0,0,0,5.1590552,50.102917,.72350001,5.2257466
1998,51,1186,132,237,.66800004,7.0783415,1,0,0,5.46806,50.102917,.66800004,4.882802
1999,51,1186,151,210,.61439997,7.0783415,0,1,0,5.3471074,50.102917,.61439997,5.0172796
2000,51,1186,170,205,.73280001,7.0783415,0,0,1,5.32301,50.102917,.73280001,5.1357985
1997,52,191,129,209,.9806,5.2522736,0,0,0,5.3423343,27.586378,.9806,4.8598123
1998,52,191,110,221,.9763,5.2522736,1,0,0,5.3981628,27.586378,.9763,4.7004805
1999,52,191,94,231,.98040003,5.2522736,0,1,0,5.4424176,27.586378,.98040003,4.5432949
2000,52,191,78,259,.96769994,5.2522736,0,0,1,5.556828,27.586378,.96769994,4.356709
1997,53,446,582,165,.88999999,6.1003189,0,0,0,5.1059456,37.21389,.88999999,6.3664703
1998,53,446,523,179,.93989998,6.1003189,1,0,0,5.187386,37.21389,.93989998,6.2595816
1999,53,446,483,200,.91120005,6.1003189,0,1,0,5.2983174,37.21389,.91120005,6.1800165
2000,53,446,450,206,.86470002,6.1003189,0,0,1,5.3278761,37.21389,.86470002,6.1092477
1997,54,732,2621,133,.51359999,6.5957804,0,0,0,4.8903489,43.504318,.51359999,7.8713112
1998,54,732,2683,144,.47580001,6.5957804,1,0,0,4.9698133,43.504318,.47580001,7.894691
1999,54,732,2709,143,.48529997,6.5957804,0,1,0,4.9628448,43.504318,.48529997,7.904335
2000,54,732,2644,189,.47679999,6.5957804,0,0,1,5.2417469,43.504318,.47679999,7.8800483
1997,55,432,280,190,.91110003,6.0684257,0,0,0,5.2470241,36.82579,.91110003,5.6347895
1998,55,432,521,112,.68309999,6.0684257,1,0,0,4.7184987,36.82579,.68309999,6.2557502
1999,55,432,584,119,.65940005,6.0684257,0,1,0,4.7791233,36.82579,.65940005,6.3699012
2000,55,432,642,116,.6275,6.0684257,0,0,1,4.7535901,36.82579,.6275,6.4645882
1997,56,1199,1154,168,.4066,7.0892429,0,0,0,5.1239638,50.257366,.4066,7.0509896
1998,56,1199,1059,254,.40959999,7.0892429,1,0,0,5.5373344,50.257366,.40959999,6.9650803
1999,56,1199,1158,215,.40330002,7.0892429,0,1,0,5.3706379,50.257366,.40330002,7.0544496
2000,56,1199,1303,221,.49130002,7.0892429,0,0,1,5.3981628,50.257366,.49130002,7.1724248
1997,57,594,1252,120,.52160001,6.3868794,0,0,0,4.7874918,40.792229,.52160001,7.1324978
1998,57,594,1421,109,.4788,6.3868794,1,0,0,4.6913481,40.792229,.4788,7.2591162
1999,57,594,1549,115,.47589999,6.3868794,0,1,0,4.7449322,40.792229,.47589999,7.345365
2000,57,594,1415,132,.49090001,6.3868794,0,0,1,4.882802,40.792229,.49090001,7.2548847
1997,58,644,115,110,.75660002,6.4676986,0,0,0,4.7004805,41.831123,.75660002,4.7449322
1998,58,644,188,102,.85430002,6.4676986,1,0,0,4.6249728,41.831123,.85430002,5.2364421
1999,58,644,174,110,.87339997,6.4676986,0,1,0,4.7004805,41.831123,.87339997,5.1590552
2000,58,644,184,124,.83589995,6.4676986,0,0,1,4.8202815,41.831123,.83589995,5.2149358
1997,59,581,1694,120,.78290004,6.3647509,0,0,0,4.7874918,40.510052,.78290004,7.4348478
1998,59,581,1644,114,.73390001,6.3647509,1,0,0,4.7361984,40.510052,.73390001,7.4048877
1999,59,581,1588,126,.74339998,6.3647509,0,1,0,4.8362818,40.510052,.74339998,7.3702307
2000,59,581,1653,137,.71720004,6.3647509,0,0,1,4.919981,40.510052,.71720004,7.410347
1997,60,515,376,121,.80809999,6.2441669,0,0,0,4.7957907,38.98962,.80809999,5.9295893
1998,60,515,425,112,.72500002,6.2441669,1,0,0,4.7184987,38.98962,.72500002,6.0520892
1999,60,515,420,127,.68239999,6.2441669,0,1,0,4.8441873,38.98962,.68239999,6.0402546
2000,60,515,460,127,.72540003,6.2441669,0,0,1,4.8441873,38.98962,.72540003,6.1312265
1997,61,306,325,224,.91470003,5.7235851,0,0,0,5.4116459,32.759426,.91470003,5.7838254
1998,61,306,551,128,.75160003,5.7235851,1,0,0,4.8520303,32.759426,.75160003,6.3117347
1999,61,306,682,101,.71300006,5.7235851,0,1,0,4.6151204,32.759426,.71300006,6.5250297
2000,61,306,710,110,.66500002,5.7235851,0,0,1,4.7004805,32.759426,.66500002,6.5652652
1997,62,859,533,249,.82139999,6.7557688,0,0,0,5.5174527,45.640411,.82139999,6.2785215
1998,62,859,874,129,.75089997,6.7557688,1,0,0,4.8598123,45.640411,.75089997,6.7730803
1999,62,859,918,131,.8211,6.7557688,0,1,0,4.8751974,45.640411,.8211,6.8221974
2000,62,859,759,197,.81620002,6.7557688,0,0,1,5.2832036,45.640411,.81620002,6.6320019
1997,63,692,1352,123,.48109999,6.5395861,0,0,0,4.8121843,42.766186,.48109999,7.2093401
1998,63,692,1441,126,.42390001,6.5395861,1,0,0,4.8362818,42.766186,.42390001,7.2730927
1999,63,692,1518,133,.4878,6.5395861,0,1,0,4.8903489,42.766186,.4878,7.3251491
2000,63,692,1554,151,.45279998,6.5395861,0,0,1,5.0172796,42.766186,.45279998,7.3485875
1997,64,432,442,206,.82099998,6.0684257,0,0,0,5.3278761,36.82579,.82099998,6.09131
1998,64,432,491,199,.85580003,6.0684257,1,0,0,5.2933049,36.82579,.85580003,6.196444
1999,64,432,456,214,.84489995,6.0684257,0,1,0,5.3659759,36.82579,.84489995,6.1224928
2000,64,432,434,235,.82690001,6.0684257,0,0,1,5.4595857,36.82579,.82690001,6.0730443
1997,65,341,198,237,.94349998,5.8318825,0,0,0,5.46806,34.010853,.94349998,5.2882671
1998,65,341,194,234,.9619,5.8318825,1,0,0,5.4553213,34.010853,.9619,5.267858
1999,65,341,201,247,.97029996,5.8318825,0,1,0,5.5093884,34.010853,.97029996,5.3033047
2000,65,341,176,269,.95679998,5.8318825,0,0,1,5.5947113,34.010853,.95679998,5.1704841
1997,66,270,885,98,.85120004,5.5984221,0,0,0,4.5849676,31.342329,.85120004,6.7855878
1998,66,270,1027,93,.72780001,5.5984221,1,0,0,4.5325994,31.342329,.72780001,6.9343972
1999,66,270,1032,94,.76429999,5.5984221,0,1,0,4.5432949,31.342329,.76429999,6.9392538
2000,66,270,955,119,.70779997,5.5984221,0,0,1,4.7791233,31.342329,.70779997,6.8617115
1997,67,693,887,114,.74669999,6.5410299,0,0,0,4.7361984,42.785072,.74669999,6.7878451
1998,67,693,799,162,.67800003,6.5410299,1,0,0,5.0875964,42.785072,.67800003,6.6833611
1999,67,693,930,135,.75040001,6.5410299,0,1,0,4.9052749,42.785072,.75040001,6.8351846
2000,67,693,808,168,.63669997,6.5410299,0,0,1,5.1239638,42.785072,.63669997,6.694562
1997,68,1747,721,181,.68059999,7.4656553,0,0,0,5.1984968,55.736008,.68059999,6.5806394
1998,68,1747,688,217,.67650002,7.4656553,1,0,0,5.3798971,55.736008,.67650002,6.5337887
1999,68,1747,715,237,.59850001,7.4656553,0,1,0,5.46806,55.736008,.59850001,6.5722823
2000,68,1747,816,221,.67519999,7.4656553,0,0,1,5.3981628,55.736008,.67519999,6.7044144
1997,69,303,179,156,.83209997,5.7137327,0,0,0,5.0498562,32.64674,.83209997,5.187386
1998,69,303,133,204,.991,5.7137327,1,0,0,5.31812,32.64674,.991,4.8903489
1999,69,303,121,232,.98110002,5.7137327,0,1,0,5.4467373,32.64674,.98110002,4.7957907
2000,69,303,127,232,.98290002,5.7137327,0,0,1,5.4467373,32.64674,.98290002,4.8441873
1997,70,453,216,184,.85110003,6.1158919,0,0,0,5.2149358,37.404133,.85110003,5.3752785
1998,70,453,219,189,.92699999,6.1158919,1,0,0,5.2417469,37.404133,.92699999,5.3890719
1999,70,453,201,221,.90330005,6.1158919,0,1,0,5.3981628,37.404133,.90330005,5.3033047
2000,70,453,207,226,.88519996,6.1158919,0,0,1,5.4205351,37.404133,.88519996,5.3327188
