inlf,kidslt6,kidsge6,age,educ,unem,exper,nwifeinc,lnwage,expersq
1,0,0,49,11,7.5,20,14.749,-.69314718,400
1,0,0,49,12,9.5,29,16.150055,1.4064891,841
1,0,2,45,12,14,9,17.774,1.7917595,81
1,1,3,38,17,14,1,91,1.2992921,1
1,0,0,47,10,14,8,22.299934,1.3510039,64
1,0,3,54,13,9.5,19,34.600014,1.0162809,361
1,0,0,41,11,7.5,23,9.6200018,1.0753436,529
1,0,2,43,12,11,3,10.899946,1.4789647,9
1,1,1,31,16,7.5,13,14.499944,1.6894867,169
1,0,0,47,17,7.5,8,22.000015,2.2885978,64
1,0,2,35,12,7.5,17,17.90008,-1.8226311,289
1,0,3,45,16,11,4,23.675062,-.96076518,16
1,1,0,33,12,7.5,15,11.79996,1.2909942,225
1,0,1,54,16,3,11,16.141954,.86487114,121
1,0,4,35,8,9.5,7,18.399971,1.5404521,49
1,1,2,31,12,7.5,0,15.499948,.61621213,0
1,0,0,55,12,7.5,0,17.323999,1.6486586,0
1,0,2,34,12,11,10,19.205004,1.1934981,100
1,0,1,38,13,7.5,8,21.300062,2.1439762,64
1,0,1,45,11,7.5,2,23.559996,.72440356,4
1,0,1,47,12,7.5,4,20.85,.94160753,16
1,0,2,39,12,5,6,26.15,.78275937,36
1,1,0,36,14,11,18,17,1.8325815,324
1,1,2,33,12,9,3,20.720003,1.2039628,9
1,0,0,50,12,5,22,17.00009,1.4916449,484
1,0,0,58,12,7.5,33,15.999998,1.8921326,1089
1,0,0,49,17,11,28,19.50005,2.1308949,784
1,0,2,41,14,14,23,12.000004,1.4806041,529
1,0,1,51,12,11,27,13.731912,.89433134,729
1,0,0,53,9,14,11,27.199991,.20253254,121
1,1,2,36,12,11,6,5.3150001,.48550782,36
1,0,2,46,12,9.5,11,16,1.0986123,121
1,0,2,36,12,11,14,27.871983,1.5532696,196
1,0,1,53,14,14,17,40.000011,.12159797,289
1,0,3,40,16,11,17,15.900034,2.0018044,289
1,0,2,42,17,9,14,27.499969,1.4950366,196
1,1,1,33,15,11,11,17.02005,.90522981,121
1,0,3,43,12,7.5,7,22.394939,.63254756,49
1,1,0,31,16,14,8,11.1,1.3862944,64
1,0,0,47,17,7.5,6,32.700012,2.1029139,36
1,0,0,54,17,11,8,27.799961,1.959644,64
1,1,3,33,12,3,4,2.1999941,.5108456,16
1,0,0,43,16,11,25,19.720951,1.2369239,625
1,0,1,46,13,3,24,9.9999876,1.4433125,576
1,0,3,35,12,14,11,13.199968,1.0216593,121
1,0,3,37,11,9.5,19,12.708975,.63615346,361
1,0,2,37,16,14,9,27.300047,1.6164533,81
1,0,3,34,14,7.5,19,21.200001,.22314355,361
1,1,0,43,16,9.5,14,14.400004,1.0498071,196
1,0,0,46,12,9.5,22,20.57596,1.4150519,484
1,0,3,35,9,5,6,12.49999,.57537663,36
1,0,0,46,17,9.5,23,17.500216,2.6066816,529
1,0,0,46,14,11,15,44.000038,1.5179145,225
1,0,2,43,12,14,6,13.118955,.7550416,36
1,0,0,30,12,7.5,11,14.000056,1.0949724,121
1,0,2,41,11,5,2,9.6450863,.94211435,4
1,0,1,54,12,14,22,17.397045,1.7249428,484
1,0,1,31,12,7.5,10,7.7998886,1.0315461,100
1,0,0,44,10,9.5,14,13.133977,.47436908,196
1,0,1,32,12,11,12,25.6,.81093019,144
1,0,0,47,5,14,9,13.900025,.7092666,81
1,0,1,46,17,7.5,13,19.297943,1.7105495,169
1,0,0,37,11,7.5,18,9.200016,.46026888,324
1,0,2,51,12,7.5,8,37.999989,1.3318118,64
1,0,1,49,12,14,11,44,1.0986123,121
1,0,4,36,14,9.5,9,21.372025,2.1579986,81
1,0,1,39,11,9.5,9,23.66802,1.4375813,81
1,0,2,48,12,9.5,14,9,1.5448993,196
1,0,2,38,14,5,9,25.199951,1.4105967,81
1,0,2,40,12,7.5,2,21.219999,3.2188759,4
1,1,5,39,10,3,12,33.969913,.96816188,144
1,0,0,37,16,7.5,15,17.07,1.7917595,225
1,0,1,49,13,14,11,6.0160236,1.6887295,121
1,0,3,33,12,9.5,7,17.10001,-.40917197,49
1,0,0,30,12,11,9,8.2370005,.22314355,81
1,0,0,54,12,9.5,19,13.300082,.82215583,361
1,0,4,39,11,11,11,16.000021,1.241702,121
1,0,3,43,12,14,8,12.53999,1.4271244,64
1,0,3,31,9,9.5,13,18.000038,1.4970975,169
1,0,3,33,13,7.5,4,31.200001,.55961579,16
1,0,3,40,12,14,7,20.74991,1.3000282,49
1,0,1,36,12,3,19,11.09992,1.8844298,361
1,0,0,51,12,9.5,14,20.68,.95551139,196
1,0,1,44,13,9.5,14,18.00001,1.5820873,196
1,0,3,42,16,9.5,3,32.430065,1.755614,9
1,0,1,40,12,7.5,9,32.900032,1.5131032,81
1,1,1,34,16,9.5,7,24.100006,2.2518916,49
1,0,0,30,17,11,7,17.800392,2.3644323,49
1,0,0,54,12,14,14,20.500017,.10535048,196
1,0,0,51,12,3,29,10.499898,1.3997288,841
1,0,2,44,9,11,19,10.437035,.98846251,361
1,0,1,43,12,11,14,18.19499,1.0906473,196
1,0,1,34,12,7.5,16,12.845077,1.1546144,256
1,0,0,45,13,11,10,13.8,1.2669476,100
1,0,0,39,12,11,12,22.199995,2.8851917,144
1,0,0,50,12,14,24,6.6999412,1.22888,576
1,0,0,52,12,14,6,6.2500157,1.2039628,36
1,0,2,41,12,7.5,9,15.600008,1.3573803,81
1,0,0,59,10,5,14,3.30001,.83772361,196
1,0,0,52,12,14,26,3.6709776,.53696114,676
1,0,0,46,16,14,7,7.7899971,.7487238,49
1,1,5,41,12,11,4,18.27199,2.2958727,16
1,0,2,33,11,9.5,15,10.953979,1.1078032,225
1,0,0,45,12,5,23,13.499992,.62084526,529
1,1,2,36,10,7.5,1,11.200012,-2.0541637,1
1,0,1,48,12,14,29,20.999908,1.892012,841
1,0,1,47,12,11,9,25.699999,1.7297245,81
1,0,0,45,12,7.5,6,8.9329939,.46937841,36
1,0,2,37,12,7.5,11,19.159977,.9808417,121
1,0,4,46,16,14,17,26.589987,2.0694923,289
1,0,3,43,17,5,6,22.400005,1.6751882,36
1,0,2,42,12,7.5,7,20.632999,1.3862944,49
1,1,2,34,17,7.5,2,28.200006,1.799215,4
1,0,0,52,12,7.5,24,28.799999,1.8325815,576
1,0,3,37,12,7.5,4,8.9999971,1.0906473,16
1,0,1,37,12,5,11,11.399942,1.4431236,121
1,0,0,52,8,5,25,10.400014,1.2503601,625
1,1,0,30,12,7.5,11,19.080055,1.6023126,121
1,0,1,31,13,11,2,9.4660397,1.0185585,4
1,0,1,38,12,7.5,19,6.5000601,1.2970532,361
1,0,3,43,12,9,7,29.117014,1.6851945,49
1,0,1,49,8,5,2,19.10302,-.42098489,4
1,0,0,55,12,5,20,16.349972,1.5620947,400
1,0,2,38,17,9.5,10,32.025017,2.1465275,100
1,0,0,52,17,14,19,16.700062,2.3474629,361
1,0,0,48,12,11,17,4.8110375,.96983153,289
1,0,2,32,13,11,12,24.626009,1.9241464,144
1,0,1,32,12,5,11,17.400013,1.6267276,121
1,0,2,38,12,7.5,6,13.02504,-.039260726,36
1,0,3,46,12,14,10,19.006983,1.4601487,100
1,0,3,40,12,7.5,4,14.03,1.9553936,16
1,0,4,31,9,5,2,14.899906,.92635989,4
1,0,1,43,10,9.5,13,25.000055,2.0661917,169
1,0,0,51,12,7.5,21,10.700068,1.4228432,441
1,1,0,30,16,5,9,24.250004,2.1010318,81
1,0,0,52,13,11,4,39.139965,2.261461,16
1,1,5,30,8,7.5,2,7.1999731,.70131379,4
1,0,0,51,16,11,19,31.810999,2.0310125,361
1,0,2,31,13,7.5,4,10.000048,1.1623693,16
1,0,4,34,12,7.5,9,20.66,.47000363,81
1,0,0,49,11,7.5,14,13.499976,1.4105967,196
1,1,3,35,13,9.5,6,25.379995,.39305511,36
1,1,0,53,12,7.5,24,18.274977,1.2909942,576
1,0,3,32,12,11,1,39.213001,0,1
1,0,3,38,10,7.5,13,10.499936,.95712548,169
1,0,0,54,12,9.5,3,34.856998,.55961579,9
1,0,1,47,17,11,10,28.501999,1.5686159,100
1,0,1,45,15,9.5,16,12.99996,1.7101879,256
1,0,1,47,16,5,9,41.39991,1.4105967,81
1,0,0,59,10,5,19,14.78,.22314355,361
1,0,1,32,11,5,4,15.049998,.5108456,16
1,0,1,45,12,7.5,10,29.699978,1.3323925,100
1,0,4,40,12,5,5,16.16502,.86018586,25
1,0,2,47,14,3,7,25.205158,2.3227799,49
1,1,2,36,16,5,3,14.199999,1.9195955,9
1,0,0,56,14,7.5,38,18.158968,1.9761068,1444
1,0,1,41,8,9.5,16,28.981064,.89543474,256
1,0,3,48,7,11,13,13.392003,.18123759,169
1,1,2,36,12,11,1,9.1750202,.49530584,1
1,0,0,41,12,5,7,27.039848,.57779241,49
1,0,0,41,14,11,15,13.149952,1.0788177,225
1,0,3,36,12,9.5,10,16.40007,1.6031985,100
1,0,3,37,12,3,2,21.299992,.62084526,4
1,0,0,38,12,9.5,19,17.201015,2.083894,361
1,0,2,43,14,7.5,25,8.5600262,1.3791691,625
1,0,0,54,16,9.5,25,6.49084,1.1123837,625
1,0,1,38,12,5,7,12.499968,1.0671216,49
1,1,0,30,12,11,15,27.000025,1.118807,225
1,0,0,49,12,9.5,11,53.50005,1.588541,121
1,0,1,45,13,9.5,25,52.499947,1.3903112,625
1,0,0,51,13,9.5,19,38.399979,1.7148064,361
1,0,0,34,10,7.5,4,13.891945,.20106153,16
1,0,2,34,12,7.5,14,3.8999929,.98727101,196
1,0,1,41,12,7.5,19,34.199997,.98350066,361
1,0,1,49,12,11,18,19.700079,2.2331707,324
1,0,0,32,12,5,14,18.499952,1.1436175,196
1,0,0,32,14,7.5,11,10.999976,-.6113829,121
1,0,2,32,17,5,4,43.300011,2.1530521,16
1,0,0,47,10,7.5,29,18.760008,1.2998374,841
1,0,1,39,9,7.5,21,4.800096,.84092045,441
1,0,0,49,12,11,24,21.500002,1.0584844,576
1,0,3,37,12,7.5,19,28.039938,1.1526585,361
1,0,0,59,16,7.5,31,26.000004,1.2935759,961
1,0,0,50,12,14,28,27,1.8325815,784
1,0,1,32,17,9.5,15,17.799688,2.3271801,225
1,0,0,46,12,11,27,17.401945,1.1661463,729
1,0,2,43,17,14,13,19.309992,2.0349932,169
1,0,3,37,11,7.5,4,9.99998,.67925107,16
1,0,2,32,16,9,10,11.17998,1.5471369,100
1,0,1,39,11,9,8,18.856956,.75301856,64
1,0,2,34,13,7.5,4,12.30002,.8472836,16
1,0,1,39,11,5,18,13.677118,.871126,324
1,0,3,45,8,5,3,9.5599966,.22825047,9
1,0,0,50,11,7.5,11,24.499985,.089657828,121
1,0,1,40,12,7.5,8,23.15,1.3217559,64
1,0,1,30,10,11,10,15.590883,1.1961019,100
1,0,0,57,17,11,33,14.420924,1.6361188,1089
1,0,1,39,12,9,19,17.454908,1.892012,361
1,0,0,53,12,7.5,35,9.8000193,1.518309,1225
1,0,1,48,17,5,21,17.574465,2.4721591,441
1,0,1,46,14,7.5,7,16.555,1.3217559,49
1,0,0,47,12,7.5,18,13.294974,1.473641,324
1,0,1,43,12,7.5,4,11.844003,1.3694788,16
1,0,0,47,12,7.5,12,46.645061,1.2039628,144
1,0,1,47,12,14,16,14.699989,1.1987292,256
1,0,0,47,12,7.5,14,26.09008,1.2702099,196
1,0,0,46,12,7.5,3,9.8999996,.47000363,9
1,0,4,34,9,11,1,9.0480261,.79998165,1
1,0,0,48,10,11,27,30.750065,1.5659456,729
1,0,1,30,12,7.5,12,8.4999399,1.758978,144
1,0,1,51,12,3,6,22.249992,.85802585,36
1,0,5,52,12,14,9,42.91,.69314718,81
1,0,2,37,12,5,2,33.299999,.64185387,4
1,0,2,32,12,5,6,13.819903,1.6337402,36
1,0,2,36,17,5,9,23.600008,1.7037476,81
1,0,2,35,12,7.5,16,13.000068,1.844004,256
1,0,0,45,17,5,22,20.749941,1.9661188,484
1,0,0,56,12,14,26,6.3000002,.86499745,676
1,0,2,40,10,14,11,7.7889247,.9333052,121
1,1,2,45,12,7.5,11,10.47004,.77923316,121
1,0,2,32,12,7.5,15,12,.95551139,225
1,0,0,45,12,7.5,13,16.979916,1.3162473,169
1,0,2,40,12,14,6,17.9,1.4759065,36
1,0,1,38,12,9.5,20,15.539937,1.4913973,400
1,0,4,49,12,14,17,9.8839855,1.4557505,289
1,0,1,47,16,11,8,28.599951,.5108456,64
1,0,0,52,13,11,13,17.660011,1.180438,169
1,0,1,34,13,7.5,15,25.999918,1.6884894,225
1,0,2,44,12,3,14,13.60201,.7907275,196
1,0,3,36,16,3,14,15.8,1.4017986,196
1,0,0,50,17,9.5,6,41.099995,-.43355602,36
1,0,0,45,12,7.5,24,10.775042,1.6831715,576
1,0,2,44,14,9.5,10,9.0000467,-1.7666767,100
1,0,2,57,12,11,2,24.398994,3.1555951,4
1,0,0,35,17,9.5,9,37.300091,2.259521,81
1,0,0,46,12,7.5,23,27.999949,1.3069264,529
1,2,1,30,14,14,12,13.700003,.79849768,144
1,0,3,42,12,14,8,17.209944,.55904418,64
1,0,1,34,12,7.5,16,14.000014,.14790262,256
1,0,2,45,17,14,10,35.75502,1.9444948,100
1,1,2,35,16,14,7,23.499996,1.3783379,49
1,0,0,40,16,14,19,31.999933,3.0647452,361
1,0,1,32,12,7.5,2,17.149996,-.74191731,4
1,0,0,54,9,7.5,9,20.250025,.7657004,81
1,0,3,38,12,14,14,5.4859848,.61939299,196
1,0,3,43,12,5,9,25.075041,1.4654521,81
1,0,0,54,16,9.5,16,18.219952,2.1892595,256
1,0,3,39,14,7.5,7,25.999996,1.0216593,49
1,0,1,37,12,5,6,34.500072,.97700948,36
1,0,2,46,12,5,22,12.4,.91629076,484
1,0,0,56,11,3,9,10.78685,2.9050961,81
1,0,3,41,12,7.5,9,16.323008,-.19967119,81
1,0,1,45,16,11,14,30.5,.69314718,196
1,0,1,44,17,7.5,17,51.299625,2.733393,289
1,0,1,50,17,5,12,33.049973,1.8683347,144
1,0,5,37,14,11,13,34.750011,2.1202595,169
1,0,1,44,12,14,8,16.40004,1.5151932,64
1,0,2,32,14,9.5,10,19.700073,.91460931,100
1,1,1,34,12,14,16,6.6000028,1.4995561,256
1,0,2,32,10,7.5,1,9.0200081,.80307722,1
1,0,3,37,12,11,6,10.400008,.72803164,36
1,0,1,44,13,9,4,14.519988,.51640999,16
1,0,2,34,16,14,8,17.199997,1.2264483,64
1,1,3,33,12,5,4,43,.91629076,16
1,0,3,43,7,7.5,15,13.87196,1.3764713,225
1,0,2,35,16,11,7,-.029057452,1.828975,49
1,0,1,43,14,7.5,14,16.769943,1.3682832,196
1,0,0,34,12,7.5,16,7.7999997,1.0647107,256
1,0,3,36,10,7.5,15,14.500064,1.4064891,225
1,0,2,41,12,14,23,7.9000001,1.0473189,529
1,0,0,41,16,7.5,19,79.800011,1.9480934,361
1,0,3,35,10,7.5,4,7.1759701,1.0780014,16
1,1,3,32,12,5,12,17.506983,.65393847,144
1,0,0,30,14,14,12,20.6,1.9278916,144
1,0,0,43,12,7.5,25,18.559916,1.3610278,625
1,0,0,54,6,7.5,14,9.3000002,.69314718,196
1,0,2,35,15,7.5,14,5.1200075,1.6046866,196
1,0,0,50,12,7.5,11,14.500038,.18390365,121
1,1,1,34,17,5,7,19.799999,3.1135154,49
1,0,0,52,14,9.5,18,18.29995,1.9268292,324
1,0,3,35,13,9,4,33.999935,1.2701256,16
1,0,0,55,6,7.5,37,11.627936,.68269271,1369
1,0,0,35,16,7.5,13,11.800046,1.68107,169
1,0,1,49,14,9.5,14,39.099976,.55629599,196
1,2,2,38,15,9.5,17,18.430071,1.6282204,289
1,0,2,42,14,9.5,5,21,.91629076,25
1,0,1,48,8,7.5,2,59,1.3415585,4
1,0,0,51,14,9.5,0,25.299999,0,0
1,0,2,43,12,7.5,3,23.248991,1.1222312,9
1,0,1,43,12,7.5,21,24.928087,.54017079,441
1,0,1,38,12,7.5,20,14.781988,1.3915057,400
1,0,1,44,12,7.5,19,18.900028,1.697174,361
1,1,3,36,12,9.5,4,21,3.2188759,16
1,0,0,38,12,7.5,19,10.00001,.87116778,361
1,0,0,47,8,5,11,29.309975,1.1673295,121
1,0,2,34,12,7.5,14,13.140032,1.2169877,196
1,1,2,40,17,14,8,25.089994,.57537663,64
1,0,1,31,12,7.5,13,14.599932,1.1516157,169
1,0,0,46,12,7.5,24,1.2000012,.99425125,576
1,0,3,36,14,14,1,32.000004,.52632493,1
1,1,2,39,13,11,1,16.11997,-1.5431821,1
1,0,2,36,17,14,3,26.500023,1.9120431,9
1,0,4,37,8,3,4,12.750055,.55428731,16
1,0,4,39,12,3,21,12.9,.91629076,441
1,1,3,36,11,14,10,10.699975,1.5009391,100
1,0,2,49,12,5,13,14.434031,.94468379,169
1,1,1,45,12,9.5,9,23.709,1.2412686,81
1,2,0,32,17,7.5,14,15.100004,1.5649843,196
1,0,5,36,10,7.5,2,18.199976,.83802646,4
1,0,1,40,12,5,21,22.641056,1.6688571,441
1,0,2,43,13,7.5,22,21.640079,1.7694286,484
1,0,1,33,12,11,14,23.999985,1.2264483,196
1,0,1,30,12,7.5,7,16.000015,1.4064891,49
0,0,1,49,12,7.5,2,21.025,,4
0,2,0,30,16,9.5,5,23.6,,25
0,1,0,30,12,7.5,12,22.799999,,144
0,0,4,41,12,7.5,1,35.91,,1
0,0,1,45,12,5,12,21.700001,,144
0,0,5,43,12,7.5,4,21.823,,16
0,0,1,42,13,11,9,31,,81
0,0,0,60,12,7.5,9,15.3,,81
0,0,0,57,12,7.5,6,12.925,,36
0,0,2,38,10,5,5,15.83,,25
0,0,0,56,12,7.5,5,30.200001,,25
0,0,3,32,12,5,8,16.6,,64
0,0,1,49,7,7.5,2,11,,4
0,0,0,55,12,3,6,15,,36
0,1,1,36,9,11,0,20.528,,0
0,0,3,44,12,14,3,13.126,,9
0,0,1,44,10,7.5,7,15.55,,49
0,1,2,35,14,7.5,3,18.01,,9
0,2,3,44,14,14,10,18.874001,,100
0,0,1,45,12,14,3,24.799999,,9
0,1,0,34,12,5,2,17.5,,4
0,2,0,30,17,7.5,12,16.15,,144
0,0,1,39,8,3,15,15.189,,225
0,0,2,36,12,14,5,6,,25
0,0,2,38,17,9.5,4,37.25,,16
0,0,0,53,12,7.5,10,27.76,,100
0,0,2,36,12,3,1,9.0900002,,1
0,1,1,32,12,7.5,8,14.5,,64
0,0,3,51,9,14,20,19.700001,,400
0,0,0,38,11,14,4,16.788,,16
0,2,0,33,12,11,7,18.52,,49
0,0,0,54,12,9.5,10,20.950001,,100
0,0,3,38,9,11,3,7.5739999,,9
0,2,2,30,11,3,5,10.027,,25
0,2,3,34,12,7.5,10,5,,100
0,0,1,34,9,3,0,7.04,,0
0,0,2,50,12,7.5,3,40.799999,,9
0,2,0,30,17,11,10,16.049999,,100
0,0,2,38,12,11,2,33.099998,,4
0,0,0,54,14,9.5,10,33.855999,,100
0,1,2,30,12,7.5,4,20.5,,16
0,0,0,55,12,5,0,28.6,,0
0,0,1,51,10,11,10,18.75,,100
0,0,1,44,12,9.5,5,20.299999,,25
0,0,0,53,12,5,0,13.42,,0
0,0,2,42,10,5,0,18.4,,0
0,0,2,38,12,7.5,19,16.681999,,361
0,1,3,38,13,7.5,2,32.685001,,4
0,1,4,41,12,9.5,12,7.0500002,,144
0,0,3,35,8,9.5,5,10.867,,25
0,1,2,33,12,9.5,5,18.219999,,25
0,0,0,48,13,7.5,5,26.613001,,25
0,0,0,47,12,7.5,10,25,,100
0,0,5,34,12,7.5,0,15.7,,0
0,2,1,33,13,5,4,40.25,,16
0,3,1,31,13,11,3,73.599998,,9
0,0,0,58,8,7.5,2,10.592,,4
0,0,0,49,12,3,1,8,,1
0,0,1,55,8,7.5,0,13.4,,0
0,0,0,44,14,14,1,23.700001,,1
0,0,0,44,9,11,1,18.9,,1
0,0,3,36,16,9.5,6,48.299999,,36
0,0,3,38,12,9.5,12,24.469999,,144
0,0,3,37,16,7.5,6,28.629999,,36
0,0,0,47,12,5,9,25.32,,81
0,0,3,47,12,7.5,14,13.53,,196
0,1,1,32,12,9,13,14.8,,169
0,1,2,43,12,7.5,8,17.4,,64
0,1,4,42,11,3,0,15.98,,0
0,0,0,56,12,7.5,1,16.576,,1
0,0,5,38,13,11,3,21.85,,9
0,0,2,52,12,14,13,14.6,,169
0,0,0,50,12,7.5,3,21.6,,9
0,0,0,33,16,7.5,8,24,,64
0,0,2,44,16,7.5,8,20.882999,,64
0,0,1,41,12,14,18,19.5,,324
0,0,1,45,12,11,2,42.799999,,4
0,0,0,53,14,7.5,3,41.5,,9
0,0,0,53,14,14,5,18.965,,25
0,0,1,42,12,9.5,2,16.1,,4
0,2,0,32,13,7.5,10,14.7,,100
0,0,0,56,12,7.5,30,18.799999,,900
0,1,3,37,11,11,1,14.75,,1
0,1,2,40,12,14,5,21,,25
0,0,3,54,15,7.5,8,35.400002,,64
0,0,0,53,7,7.5,0,10.7,,0
0,0,1,48,12,9.5,4,24.5,,16
0,1,2,36,12,9.5,2,17.045,,4
0,0,0,57,12,7.5,30,18.799999,,900
0,0,0,51,12,14,25,14,,625
0,0,4,33,13,3,3,18.214001,,9
0,0,0,52,12,7.5,20,20.177,,400
0,0,0,56,10,7.5,20,8.3000002,,400
0,1,2,36,12,7.5,0,14.2,,0
0,1,0,36,14,7.5,15,21.768,,225
0,0,1,46,12,14,10,29.552999,,100
