marr,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,lwage,black,children,expersq,agesq,marrblck
0,2428,11,32,4,82,2909,0,1,0,14,10.6,2.3,9,0,35.475609,7.7948232,1,0,121,1024,0
0,1050,1,23,4,64,759,1,0,0,5.3000002,1.1,1.2,13,0,11.85938,6.9565449,1,0,1,529,0
0,150,1,24,4,49,923,0,1,0,8.6999998,3.0999999,.60000002,,0,18.836729,5.0106349,1,0,1,576,0
0,1100,6,29,4,78,1533,1,0,0,7.5,1.8,3.7,15,0,19.653851,7.0030661,1,0,36,841,0
0,1694,5,28,4,37,1022,1,0,0,10,3,6.4000001,10,0,27.62162,7.4348478,1,0,25,784,0
0,2840,3,24,4,14,350,0,0,1,7.4000001,6.5999999,.80000001,23,0,25,7.95156,1,1,9,576,0
0,1023,2,24,4,43,623,0,1,0,6.5999999,2.7,1.1,14,0,14.48837,6.9304948,1,1,4,576,0
1,569,2,25,4,76,1930,0,0,1,8.8999996,5.5,1,25,0,25.394739,6.3438811,1,0,4,625,1
0,1225,4,26,4,75,2118,0,1,0,11.7,8.6999998,1,13,0,28.24,7.1106958,1,1,16,676,0
0,650,2,24,4,40,352,1,0,0,3.5999999,.69999999,1.8,16,0,8.8000002,6.4769731,1,0,4,576,0
0,150,1,25,4,53,535,0,0,1,2.0999999,2.2,.30000001,,0,10.09434,5.0106349,0,0,1,625,0
1,3200,9,33,4,25,556,0,0,1,8.8999996,5.1999998,1.9,2,0,22.24,8.0709057,0,0,81,1089,0
0,1700,4,26,4,76,2253,0,1,0,12.3,6.8000002,1.1,27,0,29.644739,7.4383841,1,1,16,676,0
0,1445,2,24,4,65,1515,1,0,0,10.3,3.5999999,2.0999999,17,0,23.30769,7.2758651,0,0,4,576,0
1,4133,5,26,0,79,2685,0,0,1,14.2,10.8,3.9000001,26,0,33.987339,8.3267593,0,0,25,676,0
0,150,1,24,4,27,247,0,1,0,2.5999999,2.2,.2,,0,9.1481485,5.0106349,1,1,1,576,0
0,1100,1,24,4,71,1762,0,1,0,9.5,5.8000002,1.3,12,0,24.8169,7.0030661,1,0,1,576,0
0,910,2,25,4,30,923,1,0,0,14.1,3.5999999,3.0999999,15,0,30.76667,6.8134451,1,0,4,625,0
0,800,4,26,4,73,1617,1,0,0,8.8000002,2.7,2,51,0,22.150681,6.6846118,1,0,16,676,0
0,2400,11,33,4,81,2278,1,0,0,11.9,1.9,4.1999998,139,0,28.123461,7.7832241,1,0,121,1089,0
0,150,1,23,4,81,2700,1,0,0,13.6,2.9000001,5.6999998,37,1,33.333328,5.0106349,1,0,1,529,0
1,1850,12,33,3,80,1597,0,1,0,10.2,2.3,1.9,1,0,19.9625,7.5229411,1,0,144,1089,1
0,2000,4,25,4,53,1601,0,1,0,19.1,6.5,1.7,48,0,30.20755,7.600903,1,1,16,625,0
0,312,4,27,4,37,319,1,0,0,2.3,2.2,.30000001,,0,8.6216221,5.7430029,1,0,16,729,0
0,1002,4,26,4,53,697,1,0,0,7,2.5999999,.69999999,9,0,13.15094,6.9097528,1,0,16,676,0
1,150,4,26,4,76,1726,1,0,0,7.6999998,2.0999999,3.5,40,0,22.710529,5.0106349,1,0,16,676,1
1,1100,7,29,4,75,1880,0,1,0,11.5,2.2,2,63,0,25.066669,7.0030661,0,0,49,841,0
0,250,2,25,4,72,1199,0,0,1,7.1999998,4.1999998,.40000001,42,0,16.652781,5.521461,0,0,4,625,0
1,922.00012,4,27,4,15,66,0,1,0,2.2,.69999999,.1,12,0,4.4000001,6.8265448,1,0,16,729,1
1,1410,6,28,4,69,2201,0,1,0,11.4,7.1999998,2.5,33,0,31.89855,7.2513452,1,1,36,784,1
0,1186,2,23,3,63,1358,1,0,0,10.5,2.5,1.5,12,0,21.555559,7.078341,1,1,4,529,0
1,2002,5,27,4,81,2999,1,0,0,21.1,5.4000001,2.3,4,0,37.024689,7.601902,1,0,25,729,1
1,2452,8,30,4,76,1910,0,1,0,7.6999998,5.4000001,1.7,11,0,25.13158,7.8046589,0,0,64,900,0
0,3057,6,29,4,72,2410,0,0,1,15.1,10.2,1.9,9,0,33.472221,8.0251894,1,0,36,841,0
0,2252,3,25,4,78,2776,1,0,0,17.299999,4.5,5,5,0,35.589741,7.719574,1,0,9,625,0
0,866,2,23,4,82,2560,0,1,0,13.5,7.5999999,2,8,0,31.219509,6.763885,1,0,4,529,0
0,650,3,25,4,72,1242,1,0,0,6.1999998,2,2.3,21,0,17.25,6.4769731,0,0,9,625,0
0,150,4,26,4,30,579,0,1,0,7.8000002,4.5999999,1.1,,0,19.299999,5.0106349,0,0,16,676,0
0,1722,2,24,4,76,2127,1,0,0,12.7,4.0999999,1.8,8,0,27.986839,7.451241,1,0,4,576,0
1,669.99988,3,24,4,82,1472,1,0,0,5.3000002,1.3,2.5999999,23,0,17.95122,6.507277,1,0,9,576,1
0,800,4,26,4,82,2533,1,0,0,15.3,3.2,6.6999998,21,0,30.89024,6.6846118,1,1,16,676,0
1,1470,10,31,4,76,1524,0,1,0,9.6000004,8.3999996,.69999999,10,0,20.052629,7.2930179,1,0,100,961,1
0,1375,8,31,4,82,1921,0,0,1,3.5999999,5.4000001,.80000001,69,0,23.42683,7.2262092,1,1,64,961,0
0,150,1,26,0,5,33,0,1,0,3,3.2,.40000001,,0,6.5999999,5.0106349,1,1,1,676,0
1,1600,5,27,4,49,1053,0,1,0,7.9000001,4.9000001,1.2,6,0,21.489799,7.377759,1,0,25,729,1
0,2730,2,25,4,70,2428,0,1,0,16.799999,8.6000004,4.4000001,3,0,34.685711,7.9120569,0,1,4,625,0
0,375,2,25,4,55,626,0,1,0,4.5,3.5999999,.2,28,0,11.38182,5.9269261,1,0,4,625,0
0,2000,1,23,4,79,2415,1,0,0,16.6,4,2.5999999,5,1,30.56962,7.600903,1,0,1,529,0
0,270,2,24,4,80,1617,1,0,0,5.9000001,1.5,3.5999999,34,0,20.2125,5.5984221,1,0,4,576,0
1,1275,5,27,4,72,2182,1,0,0,14.7,3.2,2.4000001,38,0,30.305559,7.150702,1,0,25,729,1
1,2075,6,28,4,71,2206,1,0,0,13.7,3.0999999,7.1999998,48,0,31.070419,7.6377158,1,0,36,784,1
1,2925,3,24,2,82,3135,1,0,0,18.799999,3.9000001,9.6000004,2,1,38.231709,7.98105,1,0,9,576,1
1,3575,9,30,3,77,1817,0,0,1,9.3000002,6.5,.60000002,3,0,23.597401,8.1817207,1,0,81,900,1
1,600,1,25,4,79,1950,0,1,0,5.6999998,6.1999998,1.2,29,0,24.68354,6.3969302,1,0,1,625,1
0,3440,4,27,3,77,2778,0,1,0,20.200001,11.3,3.4000001,1,1,36.077919,8.1432266,1,1,16,729,0
1,1200,6,29,4,82,2727,1,0,0,14,3.4000001,2.8,,0,33.2561,7.0900769,1,0,36,841,1
0,1200,7,30,4,82,1969,0,1,0,11.8,6.0999999,.89999998,2,0,24.012199,7.0900769,1,0,49,900,0
0,150,3,26,3,29,591,1,0,0,8.3000002,2.3,2.3,34,0,20.379311,5.0106349,1,0,9,676,0
1,650,13,36,4,28,226,0,1,0,2.0999999,1.9,.2,,0,8.0714283,6.4769731,1,1,169,1296,1
1,1960,6,28,4,50,1349,0,1,0,10.9,4.5999999,1.6,4,0,26.98,7.5806999,1,1,36,784,1
1,921,4,26,4,30,319,0,0,1,2.3,3,.40000001,,0,10.63333,6.82546,0,0,16,676,0
0,650,1,24,4,48,386,1,0,0,3.4000001,.80000001,1.5,16,0,8.041667,6.4769731,0,0,1,576,0
0,950,4,26,4,70,877,0,1,0,4.5999999,3.5999999,.40000001,,0,12.52857,6.856462,1,1,16,676,0
1,1269,3,26,4,80,1994,1,0,0,7.9000001,2.4000001,4.5999999,12,0,24.924999,7.1459842,1,0,9,676,1
0,650,4,26,4,73,1402,0,1,0,5.0999999,4.6999998,1.2,23,0,19.205481,6.4769731,1,0,16,676,0
0,764,2,24,4,56,1333,1,0,0,11,1.2,3,20,0,23.80357,6.6385679,1,0,4,576,0
1,3625,9,32,4,79,2972,0,0,1,24.5,11.2,2.3,1,1,37.620251,8.1956091,1,0,81,1024,1
1,2234,11,33,3,82,2204,1,0,0,9.6000004,1.7,4.0999999,11,0,26.87805,7.7115488,1,1,121,1089,1
0,1100,5,27,4,73,1903,0,1,0,7.1999998,5.8000002,2.0999999,,0,26.068489,7.0030661,1,1,25,729,0
0,2000,9,30,4,82,2932,0,1,0,11.8,11.8,2.7,9,0,35.7561,7.600903,1,1,81,900,0
1,1100,11,33,3,19,499,1,0,0,7.5,2,5.3000002,31,0,26.263161,7.0030661,1,0,121,1089,1
1,2557,6,29,4,43,1105,0,1,0,10.4,3.8,1.2,3,0,25.69767,7.84659,1,1,36,841,1
1,1120,5,29,4,59,2057,1,0,0,19,3.0999999,5.9000001,,0,34.86441,7.0210838,1,1,25,841,1
1,1600,13,36,4,70,774,0,0,1,3.3,2.5999999,.40000001,14,0,11.05714,7.377759,1,1,169,1296,1
0,1445,2,24,4,65,1515,1,0,0,10.3,3.5999999,2.0999999,17,0,23.30769,7.2758651,0,1,4,576,0
0,2670,5,26,3,81,2811,1,0,0,15.8,5.9000001,3.5999999,11,0,34.703701,7.8898339,1,0,25,676,0
0,650,2,24,4,74,1371,0,1,0,5.3000002,4.5999999,.89999998,15,0,18.527031,6.4769731,1,1,4,576,0
1,900,5,30,4,70,948,1,0,0,4.5999999,1.7,1.5,66,0,13.54286,6.8023949,1,0,25,900,1
0,1965,7,29,4,70,2570,0,1,0,15.1,11,3.4000001,10,1,36.714291,7.5832481,1,1,49,841,0
0,1244,1,23,3,82,3015,1,0,0,16,5.4000001,6.5999999,2,1,36.768291,7.1260872,1,1,1,529,0
1,985,11,33,4,29,309,0,0,1,1.2,2.4000001,.1,21,0,10.65517,6.892642,0,0,121,1089,0
0,3900,2,22,3,81,3224,0,0,1,29.299999,13.2,2.0999999,1,1,39.802471,8.2687321,1,1,4,484,0
1,150,17,39,4,45,384,0,0,1,1.7,2.0999999,.2,14,0,8.5333338,5.0106349,1,0,289,1521,1
1,890,4,28,4,74,1357,0,1,0,7.4000001,3.4000001,.80000001,52,0,18.337839,6.7912221,1,1,16,784,1
0,2820,4,26,3,82,2283,0,1,0,12.8,2.7,2.5999999,4,0,27.841459,7.9444919,1,1,16,676,0
0,1512,5,28,4,77,2037,1,0,0,9,4.5999999,5,24,0,26.45455,7.321188,1,0,25,784,0
1,900,8,32,4,68,1536,0,1,0,6.5999999,4,.89999998,17,0,22.58824,6.8023949,1,0,64,1024,1
1,2700,1,22,1,49,1385,0,0,1,10.2,6.1999998,2,2,0,28.26531,7.9010072,1,0,1,484,1
1,182,2,27,0,65,980,1,0,0,5.6999998,1.7,.40000001,,0,15.07692,5.2040071,1,1,4,729,1
1,2380,11,33,4,77,1750,1,0,0,16.799999,3.0999999,2.2,10,0,22.72727,7.7748561,1,0,121,1089,1
0,1650,6,30,4,80,2336,0,1,0,9,5,1.2,7,0,29.200001,7.4085312,1,0,36,900,0
1,1040,2,24,4,82,3147,0,1,0,18.299999,10.1,2.3,9,0,38.378052,6.9469762,1,1,4,576,1
0,613.00012,5,26,4,38,638,0,1,0,7.5999999,4.8000002,1,,0,16.789471,6.418365,1,0,25,676,0
1,1690,13,35,4,68,1555,1,0,0,8.8999996,1.9,2.8,31,0,22.867649,7.4324841,0,1,169,1225,0
1,3250,10,31,3,65,2298,0,1,0,21.6,11.2,4.5,5,1,35.353851,8.0864115,1,1,100,961,1
0,2300,7,28,4,67,2449,1,0,0,20,2.5,9.5,7,1,36.552238,7.740664,1,0,49,784,0
1,650,9,32,4,74,848,0,0,1,3.9000001,2.5999999,.60000002,6,0,11.45946,6.4769731,0,1,81,1024,0
0,2975,6,29,4,80,3207,1,0,0,16.5,4.4000001,3.4000001,14,0,40.087502,7.9979992,0,0,36,841,0
1,3250,6,28,4,68,2520,0,1,0,20.6,6.8000002,3.8,1,1,37.058819,8.0864115,1,0,36,784,1
1,2333,9,30,4,79,2557,0,1,0,16.700001,7.0999999,1.7,2,0,32.367088,7.75491,1,0,81,900,1
1,1300,6,29,4,79,1441,0,1,0,5.5999999,4,.5,21,0,18.240511,7.1701198,1,0,36,841,1
1,1578,11,32,3,68,2334,1,0,0,19.200001,6.5,4.9000001,14,1,34.323528,7.363914,0,1,121,1024,0
0,790,7,29,4,6,86,0,0,1,2.3,4,.80000001,75,0,14.33333,6.6720328,1,0,49,841,0
1,2429,6,29,4,77,2112,0,1,0,10.4,4.5999999,1.4,12,0,27.42857,7.7952352,1,1,36,841,1
0,2940,10,32,4,78,1276,0,1,0,6.5,4.1999998,1,46,0,16.358971,7.986165,1,0,100,1024,0
0,942.00012,2,23,3,65,820,0,1,0,6.6999998,1.7,.5,18,0,12.61539,6.8480048,1,0,4,529,0
1,2500,9,31,4,77,2074,1,0,0,13.1,2.8,5.1999998,24,0,26.935061,7.8240461,1,1,81,961,1
0,2336,5,28,4,82,2853,0,1,0,20.1,6.6999998,1.9,36,1,34.792679,7.756196,1,0,25,784,0
0,650,1,24,3,58,673,1,0,0,4.8000002,1.3,1.2,21,0,11.60345,6.4769731,1,0,1,576,0
0,1560,6,28,3,82,2889,1,0,0,17.200001,4.5,9.1999998,19,0,35.231709,7.3524408,1,0,36,784,0
1,2500,13,34,3,81,2636,0,1,0,9.6999998,10.4,1,10,0,32.543209,7.8240461,1,0,169,1156,1
1,1850,10,35,4,71,2094,0,1,0,13.2,5.6999998,3.0999999,57,0,29.49296,7.5229411,0,0,100,1225,0
1,550,3,26,4,61,1041,1,0,0,4.5,1.8,2.2,31,0,17.065571,6.3099179,1,1,9,676,1
1,1260,4,26,4,41,674,0,0,1,4.4000001,4.5,.30000001,18,0,16.43902,7.1388669,1,1,16,676,1
0,1616,1,23,4,19,499,1,0,0,7.0999999,1.8,6.0999999,7,0,26.263161,7.3877091,0,0,1,529,0
0,150,1,24,4,55,667,0,0,1,3.2,3.0999999,.40000001,52,0,12.12727,5.0106349,0,1,1,576,0
0,850,7,29,3,68,2402,0,1,0,11.6,11.9,.60000002,8,0,35.323528,6.7452359,1,1,49,841,0
1,2500,6,29,4,78,2897,1,0,0,23.4,3.7,4,5,1,37.141029,7.8240461,1,0,36,841,1
0,1743,4,25,4,75,2702,0,1,0,15.1,7.5,4.0999999,7,0,36.026669,7.4633632,1,0,16,625,0
0,939.99988,3,25,4,66,877,1,0,0,4.4000001,1.3,1.8,19,0,13.28788,6.84588,1,1,9,625,0
0,1462,9,31,4,79,2567,1,0,0,12.7,2.8,6.6999998,87,0,32.493671,7.28756,1,0,81,961,0
0,1658,2,24,4,57,1356,0,1,0,11.2,4.0999999,2.3,7,0,23.789471,7.4133668,1,0,4,576,0
0,200,2,26,4,57,1221,0,1,0,8,4.6999998,1.2,36,0,21.421049,5.298317,0,0,4,676,0
0,2075,6,27,4,80,2488,1,0,0,11.9,3,4.3000002,10,0,31.1,7.6377158,1,1,36,729,0
0,2407,12,33,3,59,1133,0,1,0,7.3000002,5,.80000001,2,0,19.20339,7.7861371,1,1,144,1089,0
1,1195,4,28,4,77,1949,1,0,0,10,2.0999999,4.1999998,29,0,25.311689,7.0859008,0,0,16,784,0
1,1807,5,24,4,73,2409,0,1,0,12.1,3.5999999,2.7,3,0,33,7.499423,1,0,25,576,1
1,150,5,30,4,28,94,0,0,1,2.0999999,.89999998,.2,79,0,3.3571429,5.0106349,0,1,25,900,0
1,2156,8,30,4,77,2029,0,1,0,11.6,3.3,2.4000001,4,0,26.350651,7.6760101,1,1,64,900,1
1,1818,5,26,3,70,1344,0,1,0,9,3.0999999,1,5,0,19.200001,7.5054922,1,1,25,676,1
1,5740,5,29,4,80,3241,0,0,1,29.799999,10.7,4.8000002,1,1,40.512501,8.6552143,1,1,25,841,1
0,2450,8,33,4,79,2989,0,1,0,4.6999998,17.299999,2.3,27,0,37.835442,7.803843,1,1,64,1089,0
0,150,1,23,4,40,339,1,0,0,1.8,.69999999,1.3,47,0,8.4750004,5.0106349,1,0,1,529,0
0,525,6,29,3,80,1690,1,0,0,9.1000004,2.4000001,2.4000001,39,0,21.125,6.2633982,1,0,36,841,0
0,2000,5,26,4,79,2435,1,0,0,14.1,3.4000001,3.5,5,0,30.822781,7.600903,1,0,25,676,0
0,600,3,25,4,71,866,0,1,0,2.8,2.7,.40000001,27,0,12.19718,6.3969302,1,0,9,625,0
0,617,2,27,4,45,280,0,0,1,2.5999999,2.5999999,.2,23,0,6.2222219,6.4248691,1,0,4,729,0
0,800,6,25,2,79,2597,0,1,0,18.1,10.8,2.5999999,17,1,32.873421,6.6846118,1,0,36,625,0
1,150,2,25,4,15,86,0,1,0,3.7,1,.60000002,45,0,5.7333331,5.0106349,1,0,4,625,1
0,700,4,25,4,27,78,0,0,1,1.5,.80000001,.30000001,14,0,2.8888891,6.5510802,0,0,16,625,0
1,890,9,30,4,73,1887,1,0,0,6,3.9000001,5.3000002,30,0,25.849319,6.7912221,1,1,81,900,1
0,2383,5,26,4,81,2881,1,0,0,16.5,3.3,6,2,1,35.567902,7.7761149,1,1,25,676,0
0,3587,11,33,4,81,2170,0,1,0,12.3,4.5,1.4,4,0,26.790119,8.1850719,1,0,121,1089,0
0,170,5,27,4,35,152,0,0,1,2.0999999,.69999999,.2,39,0,4.3428569,5.135798,0,0,25,729,0
1,1151,10,31,4,81,2728,0,1,0,15,5.5999999,3.4000001,8,0,33.679008,7.0483871,0,1,100,961,0
1,810.00012,3,26,4,55,1070,0,1,0,6.5,4.6999998,.40000001,,0,19.45455,6.6970339,1,1,9,676,1
1,150,2,25,4,56,559,1,0,0,3.0999999,1.1,.5,,0,9.9821424,5.0106349,1,0,4,625,1
