age,work,study,econhs,colgpa,hsgpa,acteng,actmth,act,mathscr,male,calculus,attexc,attgood,fathcoll,mothcoll,score
20,0,20,1,1.9693,3.1600001,23,21,21,9,0,1,0,1,0,0,69.669998
21,25,25,1,2.6271999,3.75,32,25,28,8,1,1,0,1,1,1,67.209999
21,25,25,0,1.95,3.0239999,25,24,25,4,1,0,0,1,1,0,50
20,17.5,20,0,3.9892001,4,32,32,33,10,0,1,1,0,1,1,92.620003
21,12,20,0,3.2679999,3.75,23,19,24,6,0,1,0,1,0,1,72.949997
21,20,10,0,3.0925,3.612,21,27,23,10,0,1,0,0,0,0,86.07
21,10,30,0,3.3599999,3.22,24,29,27,10,1,1,1,0,1,1,88.519997
21,20,10,0,3.4823999,3.2539999,29,21,26,5,1,0,0,1,1,1,86.889999
21,27.5,12,1,2.075,3.2249999,20,19,20,7,0,1,0,1,1,1,45.900002
21,0,25,0,3.7651,3.75,27,30,28,10,1,1,1,0,0,1,86.889999
20,10,30,1,2.8245001,3.694,21,24,24,9,0,1,0,1,1,1,89.339996
21,10,15,0,3.0743001,3.257,26,23,23,5,0,0,1,0,0,0,54.099998
21,12,15,0,2.5281,3.21,13,12,15,7,0,0,0,1,0,0,62.299999
21,20,30,1,2.1126001,3.405,12,18,15,7,0,1,0,1,0,0,60.66
21,12,13.5,0,3.1046,2.8610001,20,18,19,8,0,1,0,1,1,1,60.66
21,4,8,0,2.1322999,3.263,24,22,24,9,0,1,0,1,0,0,62.299999
21,18,15,1,2.7635,3.359,24,22,25,7,1,1,0,1,1,0,73.769997
22,0,7,0,1.7222,2.9200001,20,22,22,5,1,0,0,1,0,1,76.230003
21,35,5,0,2.0283,3.3670001,21,25,23,9,1,1,0,0,0,0,82.790001
21,14,17.5,0,2.4303,3.1800001,15,23,18,9,1,1,0,1,0,0,77.050003
20,10,12.5,1,2.3145001,3.49,23,28,23,7,0,1,1,0,1,1,63.110001
21,0,2,0,3.7867,4.0799999,21,26,25,10,0,1,0,1,1,1,86.07
21,17,12,0,3.0922,3.4360001,21,25,23,10,1,1,0,1,1,0,85.25
21,25,10,1,2.1171,3.2750001,15,20,18,9,1,1,0,1,0,0,59.84
20,15,15,0,2.5727,3.1659999,26,25,27,9,0,1,0,1,1,1,67.209999
22,25,20,0,2.5,3.21,22,23,19,9,1,0,0,1,0,0,28.690001
20,20,5,1,2.5833001,3.263,25,25,26,7,0,0,1,0,1,0,77.050003
21,10,20,1,2.8461001,3.75,24,27,28,10,1,1,0,1,0,0,85.25
21,14,25,0,3.3708999,3.1619999,19,20,21,3,1,1,0,1,1,1,76.230003
21,16,2,0,3.4942999,3.984,29,36,31,10,1,1,1,0,1,1,97.540001
20,13,10,1,2.9444001,3.3800001,25,18,23,9,0,1,1,0,0,1,70.489998
20,13.5,7.5,0,2.5325999,3.1900001,24,29,25,9,1,1,0,1,1,1,60.66
21,0,9,0,2.3125,2.658,16,20,19,7,1,1,0,1,0,0,41.799999
19,0,15,0,2.3928001,3.1289999,17,25,21,8,1,1,0,1,0,0,68.849998
21,13.5,50,1,2.1810999,3.5829999,12,15,13,4,1,1,1,0,1,1,41.799999
20,20,17.5,0,2.2665999,3.0769999,29,25,28,8,0,0,0,1,1,1,62.299999
20,0,12.5,0,3.2857001,3.4560001,21,18,20,8,1,1,1,0,0,1,85.25
20,5,6,0,2.677,3.388,19,19,18,5,0,0,1,0,1,0,49.18
20,12.5,12,0,2.7234001,2.74,25,20,22,7,0,1,0,1,0,0,71.309998
20,6,10,0,3.4019001,3.289,19,19,20,6,1,0,1,0,0,0,90.160004
20,19.5,20,0,2.6491001,3.5710001,20,28,24,9,0,1,0,1,0,1,73.769997
21,15,20,1,2.25,3.1800001,16,17,17,1,0,1,0,1,1,1,53.279999
20,5,10,0,2,2.776,21,22,24,7,1,1,0,1,0,1,63.93
20,15,20,0,2.0510001,3.937,27,29,28,10,0,1,0,1,1,1,92.620003
19,18,7.5,1,2.6176,3.0699999,16,23,18,10,1,1,1,0,0,0,78.690002
19,17,16,0,3.1458001,3.5139999,23,24,22,8,0,1,1,0,0,0,62.299999
19,0,22,0,3.4284999,3.533,23,24,25,10,1,1,0,1,1,1,94.260002
19,10,8,1,2.862,3.5,23,24,25,10,1,1,0,1,0,0,71.309998
19,8,6,1,3.0534999,3.743,25,29,25,9,1,1,0,1,1,1,88.519997
20,0,8,0,2.7636001,2.9890001,17,21,20,4,1,1,0,1,1,0,88.519997
20,0,2,0,1.9732,3.6900001,18,25,20,5,1,1,0,1,0,0,65.57
20,12,7,0,2.4621999,3,22,20,20,3,1,0,0,1,1,1,54.919998
20,15,5,0,2.0106001,3.207,26,21,25,7,1,1,0,1,1,0,59.02
20,8,10,1,2.7169001,3.22,21,22,21,9,1,1,0,1,0,1,73.769997
21,0,7.5,0,2.8938999,3.648,25,29,27,10,0,1,0,1,1,1,66.389999
19,25,10,1,2.5208001,3.53,27,25,27,9,0,0,1,0,1,1,68.849998
20,0,10,0,2.4038,3.49,22,29,25,10,1,1,0,1,1,1,81.150002
19,14,30,0,2.3666,2.8859999,23,20,20,8,0,1,1,0,0,1,79.510002
20,8,11,1,2.2454,3.0580001,20,23,20,8,0,1,0,1,1,1,63.93
20,22.5,14,0,2.7795999,3.2060001,25,27,25,9,0,1,0,0,0,0,58.200001
20,25,12.5,1,3.0090001,3.5139999,26,17,24,5,0,1,1,0,1,0,66.389999
20,7,15,0,2.5250001,2.8340001,24,23,22,10,1,1,0,1,1,1,63.93
19,10,35,1,3.4347,3.6500001,24,20,22,9,0,0,0,1,1,1,80.330002
21,8,10,1,2.5964,3.178,14,19,17,8,1,1,1,0,1,1,58.200001
20,23.5,12.5,0,2.2325001,2.8699999,25,17,25,5,0,0,0,0,0,1,54.099998
20,0,15,0,2.2,2.7379999,19,19,21,8,0,0,0,1,1,1,86.07
20,0,12.5,0,2.2916,3.2219999,19,21,21,3,1,0,1,0,0,1,60.66
20,0,15,0,3.0517001,3.256,24,19,23,8,0,1,1,0,1,1,72.949997
20,0,1,0,2.6784999,3.5550001,29,31,30,8,1,1,0,0,0,0,78.690002
20,11,6,1,3.0689001,3.8599999,22,26,25,10,1,1,1,0,1,1,84.43
18,0,20,0,4,4.0120001,32,30,31,9,0,1,1,0,1,1,86.889999
19,10,6,1,3.3076,3.6700001,23,20,20,6,0,1,1,0,1,1,74.589996
20,20,25,0,3.2395,2.908,22,24,20,8,0,1,1,0,0,0,68.849998
19,0,8,1,2.3148,2.944,26,26,26,9,1,1,0,1,0,0,68.849998
20,18,12.5,1,2.9215,3.277,22,22,25,8,1,1,1,0,0,0,84.43
20,25,14,0,2.3367,3.1110001,20,20,20,7,1,0,1,0,0,0,44.259998
20,27.5,6,1,2.2409999,3.0280001,23,23,23,9,1,1,0,0,1,1,63.110001
19,0,12,1,2.7118001,3,16,18,19,9,0,0,0,1,0,1,70.489998
21,0,15,1,2.25,2.8610001,19,20,19,5,1,1,0,1,0,1,82.790001
20,30,10,0,2.5118001,3.4690001,25,19,24,7,0,1,0,0,0,1,65.57
20,0,15,0,2.4533999,3.3050001,26,25,25,9,1,0,0,0,1,1,63.110001
19,17.5,27.5,0,3.1071,3.5710001,23,25,24,5,0,1,0,1,1,1,75.410004
19,0,15,0,3.3436999,3.444,25,24,24,7,0,0,1,0,0,1,74.589996
21,20,16,1,2.6500001,3.1389999,20,23,20,9,1,1,1,0,0,0,67.209999
20,15,12,0,2.5423,3.3410001,29,22,25,8,0,0,0,1,0,0,65.57
20,37.5,14,1,2.7549,3.8499999,28,26,26,7,0,1,1,0,1,1,48.360001
20,0,25,0,2.2586,3.3299999,16,21,18,8,1,1,1,0,0,1,55.740002
20,15,40,1,2.3724999,3.0190001,25,18,23,7,1,1,0,1,0,1,54.099998
19,0,6,0,2.1730001,3.2,24,24,25,9,1,1,0,1,1,1,79.510002
19,0,20,0,2.8571,3.155,19,17,18,5,0,0,0,1,1,1,65.57
20,13,10,0,2.2058001,2.7679999,23,20,23,5,1,1,0,1,0,0,77.050003
19,20,8,0,2.4537001,3.23,24,27,25,8,0,1,0,1,1,0,61.48
20,15,7,0,2.5729001,3.7869999,29,30,30,10,1,1,0,0,1,0,74.589996
20,15,10,0,2.9827001,3.3499999,24,26,24,8,1,1,0,1,0,1,88.519997
20,3,12,1,2.836,2.967,23,23,23,9,0,0,0,1,1,1,68.849998
20,20,8,1,2.7539001,3.076,,,,5,1,1,0,1,1,1,71.309998
21,10,15,0,2.7193,2.9400001,19,21,21,7,1,1,1,0,1,1,62.299999
20,15,10,1,2.7916,3.24,26,27,27,8,1,1,0,1,0,1,79.510002
21,0,2.5,0,2.1303999,3.211,26,27,28,9,1,1,0,1,0,0,69.669998
20,10,7,0,2.8800001,3.474,22,24,22,10,1,1,1,0,1,1,67.209999
20,15,20,0,1.9326,3.4990001,27,30,29,10,1,1,0,0,0,1,64.75
20,0,10,0,3.7579999,3.3610001,20,22,23,7,0,0,1,0,1,1,82.790001
21,15,40,0,2.6057,2.6500001,23,29,25,7,1,1,0,1,1,1,74.589996
20,0,10,0,3.0192001,3.0829999,20,25,24,8,1,1,1,0,1,1,85.25
20,0,6.5,0,2.2282,2.8610001,16,18,18,6,1,0,0,0,1,0,64.75
20,0,20,0,2.4721999,3.3050001,20,19,22,6,0,0,1,0,0,1,64.75
20,0,7.5,0,1.8039,3.2449999,13,18,17,8,0,0,0,1,0,0,65.57
20,0,12.5,0,2.8,3.382,24,29,28,5,1,1,1,0,1,1,73.769997
20,0,10,1,2.4326,3.25,21,23,24,10,1,1,0,1,1,1,86.889999
20,12.5,20,1,1.9802999,3.158,31,33,30,9,1,1,0,0,0,0,78.690002
19,10,10,0,3.1963999,3.8699999,15,19,17,6,0,0,1,0,0,1,59.84
19,15,10,0,3.1666,3,26,26,25,8,0,1,1,0,1,1,86.07
20,10,7,0,1.9594001,3.523,16,17,17,4,1,0,0,1,0,0,79.510002
21,0,15,0,2.9426,3.4360001,22,24,24,7,1,1,0,1,1,0,70.489998
20,10,20,1,3.5088999,3.6389999,19,28,24,8,1,1,1,0,1,1,94.260002
19,0,10,0,3.5645001,3.6329999,25,20,24,6,0,0,1,0,1,1,77.870003
19,0,10,0,3.5178001,3.944,29,24,28,10,0,1,0,1,1,1,77.050003
19,0,25,0,2.6551001,3.2290001,24,20,21,1,0,1,0,1,0,0,77.050003
18,0,12.5,0,3.6428001,3.78,28,23,28,9,0,1,0,1,1,1,89.339996
19,19,20,1,2.931,3.5,22,24,24,9,0,0,1,0,1,1,45.080002
19,8,20,0,2.5517001,3,23,25,26,9,1,1,0,1,0,1,81.150002
19,0,6,1,2.3103001,3.21,21,22,21,9,1,1,1,0,0,1,79.510002
20,7.5,12.5,1,2.3673,2.9430001,17,14,17,4,0,0,0,0,0,0,49.18
20,13,5,1,3.2953999,4.0209999,24,24,24,8,0,1,1,0,0,0,79.510002
20,8,10,0,2.0118001,3.3150001,20,24,22,10,1,1,0,1,1,0,71.309998
20,0,20,0,3.5130999,3.6199999,22,18,21,5,0,0,0,1,0,1,72.129997
20,20,3,1,2.3979001,3.4760001,21,23,24,9,1,1,0,1,0,0,59.84
20,0,25,0,2.4519,2.928,20,20,18,7,1,1,0,1,0,0,54.919998
19,0,15,1,3.8652999,3.786,24,24,24,7,0,1,1,0,0,0,79.510002
19,20,6,0,3.6666,3.707,23,27,26,7,1,1,1,0,1,1,92.620003
20,37.5,35,0,2.3271999,2.9630001,17,18,17,6,0,1,0,1,0,1,42.619999
20,0,23,0,2.6406,2.8800001,19,18,19,8,0,0,1,0,0,0,41.799999
20,0,10,1,2.4823999,2.631,19,17,18,8,0,1,0,1,0,0,61.48
20,10,20,1,3.29,3.0780001,,,,9,1,1,0,1,1,1,85.25
20,0,20,1,2.9482,3.839,25,27,26,9,1,0,0,1,1,1,81.970001
19,20,5,1,2.9375,3.165,23,28,23,6,1,1,1,0,0,0,66.389999
18,10,7.5,1,1.6296,3.1300001,18,19,17,8,0,0,0,1,0,0,36.889999
19,0,15,1,2.75,3.9719999,28,29,26,9,1,1,0,1,0,1,88.519997
20,17,10,1,2.6963999,2.98,,,,9,1,1,0,1,1,1,86.07
19,15,4,1,2.0609,2.8659999,12,17,17,7,1,1,0,1,0,0,37.700001
21,22.5,4,1,2.5731001,2.678,20,23,21,10,1,1,0,1,1,1,69.669998
19,0,20,0,3,3.085,,,,9,0,0,0,1,1,1,61.48
19,0,12,0,1.6458,3.135,24,25,24,9,0,1,0,1,1,1,68.029999
19,15,10,0,2.5625,3.1800001,19,22,19,6,0,0,0,1,0,0,66.389999
19,8,10,0,2.9107001,3.3759999,23,22,23,8,0,1,1,0,0,1,61.48
19,30,6,0,1.8953,2.9449999,30,24,29,9,0,0,0,1,1,1,74.589996
20,27.5,17.5,0,2.4038,3.451,24,31,28,9,1,1,0,1,0,0,59.02
19,30,12.5,1,2.7857001,3.6800001,18,23,21,5,0,0,0,1,0,1,77.050003
19,6,7,0,2.75,2.4000001,29,20,25,5,0,1,0,1,1,1,66.389999
20,30,15,0,2.5253999,3.527,20,25,22,8,0,1,0,0,0,0,80.330002
19,10,16,1,2.4130001,2.9000001,20,19,19,8,0,0,0,1,1,0,71.309998
19,0,16,1,2.075,3.0380001,13,19,16,8,1,1,1,0,1,1,68.849998
19,20,17.5,0,1.7708,3.086,18,19,17,6,0,0,1,0,0,0,22.129999
20,10,10,0,2.1152999,3.6489999,25,29,26,9,1,1,0,1,1,1,68.029999
19,0,8,1,3.1071,3.2720001,19,24,23,10,1,1,1,0,1,1,86.889999
19,0,10,1,2.8275001,3.783,26,23,26,9,1,1,1,0,0,0,78.690002
19,8,10,1,3.1774001,3.4430001,22,22,21,8,0,1,0,1,0,1,80.330002
18,0,12,0,2.74,3.1370001,21,25,25,6,1,1,0,1,1,1,68.029999
19,0,10,0,3.5,3.8399999,26,23,26,8,0,1,0,1,0,1,79.510002
20,14,15,0,2.862,3.3099999,27,23,26,10,1,1,0,1,1,1,72.949997
19,0,20,1,3.2902999,3.131,18,22,20,8,1,1,1,0,0,0,93.440002
20,0,8,0,2.75,2.355,18,16,19,8,1,1,0,0,1,0,72.129997
19,0,25,1,1.9523,3.4000001,15,23,17,7,0,0,1,0,1,0,46.720001
18,8,8,0,2.8571,3.2090001,26,23,25,10,1,1,0,1,1,1,81.150002
19,0,20,0,3.5369999,3.7939999,27,24,22,9,0,0,0,1,1,1,71.309998
19,15,20,1,2.8213999,3.3570001,20,18,19,7,0,0,0,1,0,0,44.259998
19,12.5,4,1,3.3275001,3.6800001,18,24,21,10,1,1,0,1,0,0,84.43
19,0,20,1,2.9642,3.5179999,20,23,20,10,1,1,0,1,1,1,75.410004
19,25,3.5,1,3.3034999,3.306,24,25,25,9,1,0,0,1,1,0,71.309998
18,10,16,0,2.1784999,2.9430001,19,19,21,6,0,1,1,0,1,1,53.279999
18,0,10,1,3.125,3.211,21,23,21,8,0,1,0,1,1,1,68.029999
19,0,30,0,2.75,3.6159999,17,19,17,7,1,1,1,0,1,1,68.849998
19,0,5,0,3.3064001,3.925,25,22,23,8,0,1,1,0,1,0,88.519997
20,0,17.5,0,2.9642,3.4790001,23,25,25,8,1,1,0,1,0,1,72.949997
19,0,16.5,0,2.6935,3.5829999,21,23,19,9,0,1,1,0,1,1,77.050003
19,15,17.5,0,1.8269,3.0880001,18,18,17,7,1,0,0,1,0,0,52.459999
19,0,15,0,3.8970001,3.97,26,21,23,5,0,1,0,1,1,1,90.160004
19,11,15,0,3.1296,3.6199999,19,20,19,4,0,0,0,1,0,1,77.050003
19,12.5,15,0,2.1963999,3.51,25,20,25,4,0,0,0,1,1,1,70.489998
19,11,10,1,3.5311999,3.263,23,25,26,1,0,0,0,1,1,1,68.849998
19,0,6,0,2.6784999,2.8570001,21,27,23,8,0,1,0,1,0,0,71.309998
19,12,5,1,1.1041,3.556,19,22,23,9,1,1,0,0,1,1,58.200001
19,12,12.5,1,2.9166,3.72,24,22,25,7,0,0,0,1,1,1,73.769997
19,10,15,0,3.125,3.6659999,26,23,23,7,1,1,0,1,0,1,86.889999
19,15,6,1,2.2,2.8640001,21,25,23,8,1,1,0,1,1,1,82.790001
19,0,3,0,3.625,3.191,24,20,22,7,1,1,0,1,1,1,80.330002
20,0,10,0,3.3833001,3.355,18,22,20,8,0,1,0,1,1,1,80.330002
19,30,10,0,2.25,2.9360001,21,24,20,9,1,1,0,1,1,1,63.110001
19,20,12,1,2.8571,3.2980001,23,20,21,6,1,1,1,0,1,1,79.510002
19,7.5,7,0,2.9375,3.029,22,20,20,10,0,0,0,1,1,1,39.34
20,15,40,0,3.1296,3.5969999,15,25,20,10,1,1,1,0,0,1,85.25
19,0,13.5,0,3.4827001,3.2690001,26,20,23,5,1,1,0,1,1,1,60.66
20,15,20,0,3.375,3.694,24,24,23,9,1,1,1,0,1,0,72.949997
19,0,20,0,2.96,3.108,25,24,24,10,1,1,0,1,1,1,85.25
19,5,10,1,3.3703001,3.2219999,23,24,23,8,0,1,0,1,0,1,79.510002
19,0,8.5,1,3.1551001,3.2130001,22,25,23,9,1,1,0,1,0,0,76.230003
19,10,20,1,3.1963999,3.5869999,26,27,27,8,0,0,0,1,0,1,81.150002
19,20,30,0,2.2241001,3.4200001,26,20,26,7,1,0,1,0,0,1,68.849998
19,0,2,0,2.3213999,2.911,27,28,29,6,1,1,0,1,1,1,63.110001
19,0,17.5,0,2.6784999,3.017,21,23,22,7,0,1,0,1,1,0,75.410004
19,0,17.5,0,2.7656,3.0150001,24,24,23,9,1,1,0,1,1,1,59.84
19,11,15,0,2.8666,4,27,29,27,10,0,1,0,1,0,1,91.800003
20,16,15,0,2.7083001,2.7379999,23,19,22,6,1,1,0,1,1,1,59.84
19,11.5,10,0,3.5208001,3.4719999,19,27,22,9,1,1,0,1,0,1,82.790001
18,5,5,1,2.3043001,3,22,21,23,6,1,0,1,0,0,1,74.589996
19,20,9,1,2.7172999,3.5739999,26,26,24,10,1,1,1,0,0,0,60.66
19,20,25,1,3.375,3.4860001,19,24,20,6,1,1,1,0,1,1,75.410004
19,18,9,0,2.7665999,2.8889999,20,19,22,8,1,1,0,0,1,0,65.57
19,0,5,0,2.6400001,3.5280001,19,25,21,10,1,1,0,1,1,1,63.110001
19,5,3,0,3.25,2.806,21,20,21,4,0,1,1,0,0,1,81.150002
20,10,30,0,2.3034999,3.2160001,20,19,18,6,0,0,1,0,1,0,70.489998
18,0,12.5,1,2.7307,3.438,23,26,25,10,1,1,0,1,1,0,88.519997
19,0,10,0,2.6127999,3.4460001,22,21,22,8,0,1,0,1,1,1,73.769997
19,0,20,1,2.9354,3.2750001,25,28,25,7,0,1,1,0,1,0,77.870003
19,12,17.5,0,2.2284999,3.75,24,23,24,9,0,1,0,1,1,1,61.48
19,0,10,0,3.1666,3.4630001,23,28,24,8,1,1,1,0,1,1,77.870003
19,0,15,1,2.2727001,3.0280001,17,17,18,5,0,0,1,0,1,1,78.690002
19,22.5,15,0,2.4807,3.04,21,23,20,4,0,1,1,0,1,1,72.949997
19,20,20,0,2.8833001,3.4300001,15,25,22,9,1,1,1,0,0,1,77.050003
19,13,20,0,2.2799001,2.8829999,18,17,19,7,1,1,1,0,0,0,47.540001
19,0,20,1,2.4827001,3.1289999,22,17,23,10,1,1,0,1,0,1,60.66
19,0,9,0,3.5999999,3.529,24,28,24,9,1,0,1,0,0,0,89.339996
19,10,15,0,3.4821,3.589,27,24,25,6,0,0,0,1,0,1,65.57
19,15,10,1,3.2758,4.198,21,27,24,9,0,1,0,1,0,1,86.07
19,0,20,1,3.6607001,3.675,19,22,19,9,1,0,1,0,0,0,82.790001
19,0,9,1,3.4827001,3.319,23,22,24,8,1,0,0,1,1,1,77.870003
19,0,15,1,2.3199999,2.8380001,25,21,24,8,0,1,0,1,1,0,59.84
19,0,27.5,1,3.3392,3.9200001,21,20,21,7,1,1,1,0,1,1,81.970001
19,15,15,1,2.6896,3.5,21,21,22,6,0,0,1,0,1,1,60.66
19,20,20,0,1.8695,3.233,17,19,17,7,0,0,0,0,0,1,34.43
19,4.5,25,1,3.7857001,3.2809999,19,21,21,6,1,0,1,0,0,0,86.889999
19,0,6,0,2.8333001,3.1259999,20,20,20,8,1,1,1,0,1,1,80.330002
19,0,40,1,3.7068999,3.993,25,25,26,9,0,1,1,0,0,1,89.339996
18,0,10,0,2.6127999,3.4860001,22,22,23,8,0,1,1,0,1,1,69.669998
19,10,10,0,3.8652999,3.5369999,21,24,22,6,0,0,1,0,0,0,89.339996
19,10,2,0,2.02,2.8610001,15,20,20,8,1,0,0,1,0,1,61.48
19,0,10,0,2.6127999,3.49,29,20,26,8,0,1,0,1,0,0,78.690002
19,0,12,0,2.7776999,3.171,19,22,20,10,1,0,0,1,0,0,73.769997
19,18,20,0,2.1666,2.7780001,18,19,18,8,0,1,0,1,0,0,34.43
19,5,6,1,2.8392,2.944,22,20,21,8,1,1,1,0,0,0,68.029999
19,0,25,0,3.5160999,3.763,24,31,30,9,1,0,1,0,0,1,94.260002
19,0,12,0,1.9807,3.2409999,26,26,25,9,1,1,0,1,1,1,82.790001
19,18,10,1,2.7776999,3.3670001,23,22,24,8,1,1,0,1,1,1,77.870003
20,0,15,0,2.1817999,3.605,27,28,28,10,1,1,0,1,0,1,66.389999
19,0,25,1,2.4677,3.3099999,23,22,24,8,0,0,0,1,0,0,68.849998
19,12.5,42.5,0,2.3125,3.342,20,22,20,8,0,1,0,1,1,1,69.669998
19,20,12,1,1.9137,2.895,15,19,17,9,1,0,1,0,1,1,63.110001
18,13,24,0,3.9482,3.911,27,26,26,10,0,1,1,0,0,0,93.440002
19,8,15,1,3.4833,3.9530001,18,22,19,9,1,1,1,0,0,0,83.610001
19,12,5.5,0,3.6333001,3.51,27,27,28,10,1,1,1,0,1,1,84.43
18,0,7,0,3.7083001,3.697,27,27,26,10,1,1,0,1,1,1,86.07
19,30,8,0,3.2321,3.6389999,29,25,27,8,0,1,1,0,0,0,86.889999
19,16,0,0,2.8928001,3.138,17,19,18,9,1,1,1,0,1,1,63.93
18,0,14,0,2.5739999,3.0799999,20,20,20,4,0,0,1,0,0,1,50
18,15,12.5,0,2.7586,3.368,22,23,22,10,0,1,0,1,1,1,73.769997
20,0,27.5,0,3.5,3.8800001,22,28,20,8,1,1,1,0,0,1,82.790001
19,17.5,12.5,0,2.25,3.5550001,20,24,24,10,1,1,1,0,1,0,68.849998
19,0,20,0,1.4665999,3.1500001,24,19,22,6,1,0,0,1,1,1,46.720001
19,0,5,0,3,3.277,22,24,23,8,0,0,0,1,1,1,77.050003
19,0,14,1,3,2.8329999,22,25,23,8,1,1,1,0,0,1,77.050003
19,0,10,0,2.625,3.431,20,22,20,7,1,0,0,1,0,1,65.57
19,11,12,0,2.2221999,2.99,23,19,22,8,1,0,0,0,0,0,76.230003
19,27,11,0,3,3.28,24,24,26,8,1,1,0,1,0,0,75.410004
19,15,15,1,2.4000001,2.855,18,25,19,9,0,1,0,1,0,1,63.93
19,8,5,0,2.9400001,3.9630001,34,30,33,10,0,1,0,1,0,1,72.129997
18,12.5,10,0,3.2758,3.5599999,25,23,25,8,0,0,1,0,0,0,75.410004
19,17.5,7,0,2.8518,3.194,23,23,24,10,1,0,0,1,1,1,62.299999
19,0,25,0,3.4628999,3.694,25,23,26,9,0,1,0,1,1,1,77.050003
19,0,25,1,1.3043,3.3150001,20,17,20,4,1,0,0,1,0,0,45.080002
19,10,12,0,3.0862,3.549,26,27,26,7,1,1,0,1,0,1,83.610001
19,0,10,0,3.2096,3.6099999,23,26,23,9,0,1,0,1,0,1,77.050003
19,11,12,1,2.7068999,3.6949999,24,24,24,7,0,1,0,1,0,1,66.389999
18,4.5,17.5,0,3.2221999,3.4579999,27,25,28,9,0,1,0,1,0,1,72.949997
20,10,6,0,2.625,3.46,20,23,24,6,1,1,0,0,0,1,80.330002
18,18,16,1,2.0757,3.7609999,25,30,25,4,0,1,1,0,0,0,94.260002
19,0,10,0,3.0892,3.4159999,29,27,26,9,1,1,0,1,0,1,73.769997
18,20,20,0,3.5666001,3.5420001,29,28,26,7,0,1,1,0,1,1,86.889999
19,16,10,0,1.8076,3.6099999,22,20,21,10,1,1,0,1,0,0,72.949997
19,13.5,7.5,1,2.0178001,3.5380001,19,20,22,5,0,0,0,1,0,0,61.48
19,18,5,0,2.8213999,3.3940001,21,22,25,9,1,1,0,1,1,1,64.75
19,0,15,0,2.5713999,3.4449999,24,20,24,6,0,1,0,1,0,1,58.200001
19,0,37.5,0,3.2419,3.48,23,25,24,6,0,1,0,1,1,1,67.209999
19,0,37.5,0,2.8518,3.1849999,20,18,20,9,0,0,0,1,0,1,65.57
19,0,12,1,2.8103001,3.2360001,18,26,20,9,0,0,0,1,0,1,72.129997
19,20,17,1,3.375,3.98,21,29,24,10,1,1,0,1,1,1,86.07
19,0,20,1,3.5178001,3.7969999,24,20,25,9,1,1,0,1,0,1,86.07
19,8,8,1,2.5,3.4000001,22,20,21,9,0,0,1,0,0,0,57.380001
19,12,15,0,2.3034999,2.97,21,16,20,10,1,0,0,1,1,1,75.410004
20,0,17.5,0,3.2068999,3.3429999,24,22,22,8,1,1,1,0,1,1,86.07
19,20,22.5,0,2.9284999,3.2,,,,10,1,1,0,1,0,0,61.48
19,8,10,0,3.1428001,2.99,20,16,20,8,1,1,0,1,0,1,77.050003
19,0,17.5,0,2.4642,3.0580001,21,23,22,8,0,1,0,1,1,1,75.410004
19,0,24,1,1.931,2.48,21,17,19,7,0,0,0,1,0,1,45.900002
19,14,15,1,2.6551001,3.3789999,27,27,27,10,1,1,0,1,1,1,73.769997
19,10,20,1,3.2419,3.1099999,,,,9,1,1,1,0,1,1,72.129997
